fiscal_year,contractingcustomer,contractingsubcustomer,fundingagency,fundingsubagency,productserviceorRndArea,PlatformPortfolio,isforeignownedandlocated,isforeigngovernment,isinternationalorganization,fundedbyforeignentity,PlaceCountryText,PlaceIsInternational,OriginIsInternational,OriginCountryText,VendorIsInternational,VendorCountryText,SumOfnumberOfActions,SumOfobligatedAmount
2011,State and IAP,State,State and IAP,State,Other,Other Products,0,0,0,,UNITED KINGDOM,1,1,ISRAEL,0,UNITED STATES,1,15000.0000
2007,Defense,Army,Defense,Army,Aircraft,Aircraft,1,0,1,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,334000.0000
2017,State and IAP,State,State and IAP,State,ERS,Other Services,0,0,0,X,,1,1,,1,ISRAEL,0,1877916.0000
2013,Defense,DLA,Defense,DLA,Aircraft,Aircraft,1,0,1,,ISRAEL,1,1,ISRAEL,1,ISRAEL,3,861624.0000
2016,Defense,Army,Defense,Army,FRS&C,Facilities and Construction,1,0,0,X,,1,1,,1,ISRAEL,0,0.0000
2016,Defense,Other DoD,Defense,Navy,Aircraft,Aircraft,1,0,0,X,UNITED STATES,0,0,UNITED STATES,1,ISRAEL,2,0.0000
2016,State and IAP,State,State and IAP,State,PAMS,Other Services,0,0,0,B,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,4444.9199
2016,Defense,Air Force,Defense,Air Force,Aircraft,Aircraft,0,0,0,A,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,771750.0000
2017,HHS,HHS,HHS,HHS,PAMS,Other R&D and Knowledge Based,0,0,0,X,UNITED STATES,0,0,UNITED STATES,1,ISRAEL,2,13385.2002
2010,Defense,Navy,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",1,0,1,,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,12610.0000
2002,VA,VA,VA,VA,ICT,"Electronics, Comms, & Sensors",0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,1000.0000
2000,Defense,Navy,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,UNITED STATES,0,1,ISRAEL,1,,1,4330930.0000
2012,State and IAP,State,State and IAP,State,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,BANGLADESH,1,1,ISRAEL,0,UNITED STATES,1,14198.0000
2006,Other Agencies,Justice,Other Agencies,Justice,ICT,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,,1,CANADA,1,1844.0000
2008,Defense,Other DoD,Defense,Other DoD,Aircraft,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,-5109.0000
2010,Defense,Army,Defense,Army,FRS&C,Facilities and Construction,0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,11,23940356.0000
2010,Defense,Navy,Defense,Navy,Aircraft,Aircraft,1,0,0,,UNITED STATES,0,0,UNITED STATES,1,ISRAEL,6,440220.0000
2004,Other Agencies,Commerce,Other Agencies,Commerce,ICT,"Electronics, Comms, & Sensors",0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,3,316.0000
2011,Defense,DLA,Defense,DLA,Aircraft,Aircraft,1,0,1,,ISRAEL,1,0,UNITED STATES,1,ISRAEL,2,211536.0000
2007,State and IAP,State,State and IAP,State,Other,Facilities and Construction,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,4,26535.5900
2009,NASA,NASA,NASA,NASA,Electronics & Communications,"Electronics, Comms, & Sensors",1,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,3,4270.0000
2015,State and IAP,State,State and IAP,State,PAMS,Space Systems,0,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,5250.6800
2013,Defense,Army,Defense,Army,FRS&C,Facilities and Construction,0,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,-11559.8400
2017,State and IAP,State,State and IAP,State,FRS&C,Facilities and Construction,0,0,0,X,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,8,365970.0000
2004,State and IAP,State,State and IAP,State,PAMS,Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,3000.0000
2013,State and IAP,USAID,State and IAP,USAID,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,4670.7500
2013,HHS,HHS,HHS,HHS,PAMS,Other R&D and Knowledge Based,0,0,1,,UNITED STATES,0,0,UNITED STATES,1,ISRAEL,1,19250.0000
2014,Defense,Navy,Defense,Navy,Aircraft,Aircraft,1,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,5,175000.0000
2015,Defense,Army,Defense,Army,Advanced Technology Development (6.3),Missile Defense,0,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,-0.4800
2015,DHS,COAST GUARD,DHS,COAST GUARD,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,10692.0000
2007,State and IAP,USAID,State and IAP,USAID,PAMS,Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,29,446960.1890
2008,State and IAP,USAID,State and IAP,USAID,ERS,Facilities and Construction,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,3,30116.1699
2009,State and IAP,State,State and IAP,State,FRS&C,Facilities and Construction,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,64,1290263.8536
2012,Defense,Army,Defense,Army,FRS&C,Facilities and Construction,0,0,0,,ISRAEL,1,1,ISRAEL,1,,2,1270132.3281
2008,State and IAP,USAID,State and IAP,USAID,Other,Facilities and Construction,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,13814.0000
2010,Defense,Navy,Defense,Navy,Electronics & Communications,Aircraft,0,0,1,,UNITED STATES,0,1,ISRAEL,1,ISRAEL,1,0.0000
2015,State and IAP,State,State and IAP,State,Ground Vehicles,Aircraft,0,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,-1744.8700
2014,Defense,Army,Defense,Army,FRS&C,Facilities and Construction,0,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,3435049.7344
2014,State and IAP,USAID,State and IAP,USAID,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,45000.0000
2016,Defense,DLA,Defense,DLA,Other,Land Vehicles,0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,11,119232.4881
2002,Other Agencies,Commerce,Other Agencies,Commerce,PAMS,Other R&D and Knowledge Based,0,0,0,,,1,1,,1,ISRAEL,0,0.0000
2017,State and IAP,State,State and IAP,State,PAMS,Other Services,0,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,6,74579.8488
2013,VA,VA,VA,VA,Clothing & Subsistence,Other Products,0,0,0,,,1,1,,1,ISRAEL,0,0.0000
2014,Defense,DLA,Defense,Navy,Aircraft,Aircraft,0,0,1,,ISRAEL,1,1,ISRAEL,1,ISRAEL,11,3788850.0000
2014,State and IAP,State,State and IAP,State,PAMS,Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,7552.0000
2014,Defense,Army,Defense,Army,Other,Facilities and Construction,1,0,0,,,1,1,,1,ISRAEL,0,0.0000
2015,Defense,Navy,Defense,Air Force,Launchers & Munitions,Ordnance and Missiles,0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,225000.0000
2015,State and IAP,State,State and IAP,State,Launchers & Munitions,Ordnance and Missiles,0,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,4,21499.9200
2005,State and IAP,State,State and IAP,State,ERS,Other Services,0,0,0,,ISRAEL,1,1,,0,UNITED STATES,6,63291.0000
2006,VA,VA,VA,VA,Other,Facilities and Construction,0,0,0,,UNITED STATES,0,0,UNITED STATES,1,ISRAEL,1,960.0000
2012,Defense,Other DoD,Defense,Other DoD,Basic Research (6.1),Other R&D and Knowledge Based,0,1,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,4,1072284.0000
2013,State and IAP,State,State and IAP,State,Other,Other Products,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,63,533156.6900
2013,State and IAP,State,State and IAP,State,Fuels,Other Products,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,13,590052.6500
2013,Defense,Navy,Defense,Navy,Aircraft,Aircraft,1,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,4,62947.0000
2002,Defense,DLA,Defense,DLA,Ground Vehicles,Land Vehicles,0,0,0,,ISRAEL,1,1,ISRAEL,1,,7,309615.0000
2007,State and IAP,State,State and IAP,State,Clothing & Subsistence,Other Products,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,16,169521.0508
2007,Defense,Air Force,Defense,Air Force,Other,Other Products,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,21760.0000
2012,Defense,Army,Defense,Army,Other,Facilities and Construction,1,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,3,103123.0508
2011,State and IAP,State,State and IAP,State,Engines & Power Plants,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,23431.9407
2002,State and IAP,State,State and IAP,State,MED,Other Services,0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,42000.0000
2000,Defense,Army,Defense,Army,Engines & Power Plants,Land Vehicles,0,0,0,,ISRAEL,1,1,,0,UNITED STATES,1,277000.0000
2017,Defense,Navy,Defense,Navy,PAMS,Other R&D and Knowledge Based,1,0,1,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,0.0000
2017,State and IAP,State,State and IAP,State,Other,Facilities and Construction,1,0,0,X,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,1,8666.5801
2018,DHS,COAST GUARD,DHS,COAST GUARD,Aircraft,"Electronics, Comms, & Sensors",0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,0.0000
2018,State and IAP,State,State and IAP,State,FRS&C,Facilities and Construction,0,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,12308.6797
2010,Defense,Navy,Defense,Navy,Clothing & Subsistence,Other Products,0,0,0,,ICELAND,1,1,ISRAEL,0,UNITED STATES,1,4106.8198
2003,HHS,HHS,HHS,HHS,Clothing & Subsistence,Other Products,0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,35000.0000
2000,Defense,Army,Defense,Army,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,35388.0000
2015,State and IAP,State,State and IAP,State,Aircraft,"Electronics, Comms, & Sensors",0,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,5720.8500
2016,Defense,DLA,Defense,DLA,Aircraft,Aircraft,0,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,0.0000
2006,State and IAP,State,State and IAP,State,ICT,"Electronics, Comms, & Sensors",0,0,0,,,1,1,,1,ISRAEL,0,0.0000
2003,State and IAP,USAID,State and IAP,USAID,PAMS,Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,20,3206337.0000
2011,Defense,Navy,Defense,Navy,Missiles & Space,Ordnance and Missiles,0,0,0,,ISRAEL,1,1,ISRAEL,1,,4,0.0000
2008,Defense,Navy,Defense,Navy,Launchers & Munitions,Ordnance and Missiles,0,0,0,,ISRAEL,1,1,ISRAEL,1,,2,28320.0000
2007,Defense,Other DoD,Defense,Other DoD,Aircraft,Aircraft,0,0,0,,ISRAEL,1,0,UNITED STATES,1,,4,0.0000
2000,State and IAP,State,State and IAP,State,MED,Other Services,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,294000.0000
2010,VA,VA,VA,VA,Clothing & Subsistence,Other Products,0,0,0,,UNITED STATES,0,1,,1,ISRAEL,2,22100.8799
2016,Defense,Army,Defense,Army,Engines & Power Plants,Aircraft,0,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,4,474200.0000
2017,Defense,DLA,Defense,DLA,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,103,954370.9105
2018,State and IAP,State,State and IAP,State,Fuels,Other Products,0,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,4016.6299
2012,Defense,Army,Defense,Army,Aircraft,Aircraft,1,0,1,,ISRAEL,1,0,UNITED STATES,1,ISRAEL,1,225521.2344
2013,Other Agencies,Transportation,Other Agencies,Transportation,PAMS,Other R&D and Knowledge Based,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,7,1214148.6600
2014,Defense,Navy,Defense,Navy,Aircraft,Aircraft,1,0,0,,ISRAEL,1,0,UNITED STATES,1,ISRAEL,11,582000.0000
2014,Defense,DLA,Defense,Navy,Aircraft,Aircraft,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,65000.0000
2015,State and IAP,USAID,State and IAP,USAID,Other,Facilities and Construction,0,0,0,X,ISRAEL,1,1,GERMANY,0,UNITED STATES,1,-35.2700
2015,HHS,HHS,HHS,HHS,Other,Facilities and Construction,0,0,0,X,UNITED STATES,0,1,ISRAEL,1,ISRAEL,1,85000.0000
2009,State and IAP,State,State and IAP,State,Other,Facilities and Construction,0,0,0,,IRELAND,1,1,ISRAEL,0,UNITED STATES,1,62327.0000
2002,Defense,DLA,Defense,DLA,Other,Aircraft,0,0,0,,CANADA,1,1,ISRAEL,1,,1,164241.0000
2003,Defense,MDA,Defense,MDA,Advanced Technology Development (6.3),Missile Defense,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,2030641.0000
2009,NASA,NASA,NASA,NASA,Other,Facilities and Construction,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,0.0000
2004,Defense,Army,Defense,Army,Basic Research (6.1),Other R&D and Knowledge Based,0,0,0,,UNITED STATES,0,0,UNITED STATES,1,ISRAEL,1,96821.0000
2005,Other Agencies,CONSUMER PRODUCT SAFETY COMMISSION,Other Agencies,CONSUMER PRODUCT SAFETY COMMISSION,Other,Facilities and Construction,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,48000.0000
2011,Defense,Army,Defense,Army,Launchers & Munitions,Ordnance and Missiles,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,12,356021.7525
2009,Defense,DLA,Defense,DLA,Aircraft,"Electronics, Comms, & Sensors",1,0,1,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,1378500.0000
2010,State and IAP,State,State and IAP,State,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,,0,UNITED STATES,4,13753.3998
2007,DHS,TSA,DHS,TSA,System Development & Demonstration (6.5),Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,0.0000
2001,Defense,Air Force,Defense,Air Force,Engines & Power Plants,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,480000.0000
2010,Defense,Army,Defense,Army,Other,Land Vehicles,1,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,0.0000
2016,Other Agencies,Commerce,Other Agencies,Commerce,PAMS,Other R&D and Knowledge Based,0,0,0,X,ISRAEL,1,1,,1,ISRAEL,1,0.0000
2017,Defense,Other DoD,Defense,DLA,Aircraft,Aircraft,1,0,1,X,,1,1,ISRAEL,1,ISRAEL,1,0.0000
2001,Defense,DLA,Defense,DLA,Ground Vehicles,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,48829.0000
2014,Defense,Other DoD,Defense,Other DoD,Applied Research (6.2),Other R&D and Knowledge Based,1,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,416000.0000
2014,Other Agencies,Agriculture,Other Agencies,Agriculture,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,1,6000.0000
2015,Defense,DLA,Defense,DLA,Launchers & Munitions,"Electronics, Comms, & Sensors",0,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,0.0000
2014,State and IAP,State,Other Agencies,Exec Office,Ground Vehicles,Land Vehicles,0,0,0,B,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,857900.0000
2005,State and IAP,State,State and IAP,State,ICT,"Electronics, Comms, & Sensors",0,0,0,,,1,1,,1,ISRAEL,0,22034.0000
2007,State and IAP,State,State and IAP,State,Launchers & Munitions,Ordnance and Missiles,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,5916.0000
2011,Defense,DLA,Defense,DLA,Aircraft,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,3,1649560.0000
2009,Defense,Navy,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",1,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,5198.0000
2011,Defense,Army,Defense,Army,PAMS,Other Services,0,0,0,,ISRAEL,1,1,GERMANY,0,UNITED STATES,4,-359830.5313
2004,State and IAP,State,State and IAP,State,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,0,UNITED STATES,1,ISRAEL,1,32462.8203
2011,VA,VA,VA,VA,Clothing & Subsistence,Other Products,1,0,1,,UNITED STATES,0,0,UNITED STATES,1,ISRAEL,1,4380.0000
2016,Defense,Other DoD,Defense,Navy,Engines & Power Plants,Aircraft,0,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,-10930.0000
2002,Defense,Army,Defense,Army,Other,Land Vehicles,0,0,0,,ISRAEL,1,1,,0,UNITED STATES,1,209190.0000
2013,State and IAP,State,State and IAP,State,Engines & Power Plants,Land Vehicles,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,3,76776.0200
2013,Defense,DLA,Defense,DLA,Other,Aircraft,1,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,3,15600.0000
2014,Defense,Army,Defense,Army,FRS&C,Facilities and Construction,1,0,0,A,ISRAEL,1,1,ISRAEL,0,UNITED STATES,14,264295.0000
2015,State and IAP,State,State and IAP,State,ERS,Other Services,1,0,0,X,,1,1,,1,ISRAEL,0,754578.0625
2013,State and IAP,USAID,State and IAP,USAID,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,6715.0000
2016,Defense,Navy,Defense,Navy,Aircraft,Aircraft,1,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,9,907424.0000
2010,Other Agencies,Transportation,Other Agencies,Transportation,PAMS,Other R&D and Knowledge Based,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,6,11948074.7500
2009,Defense,Navy,Defense,Navy,Launchers & Munitions,Ordnance and Missiles,1,0,1,,ISRAEL,1,0,UNITED STATES,1,ISRAEL,2,0.0000
2007,Defense,Army,Defense,Army,Basic Research (6.1),Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,120000.0000
2006,State and IAP,State,State and IAP,State,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,,0,UNITED STATES,1,3610.0000
2010,State and IAP,State,State and IAP,State,Ground Vehicles,Land Vehicles,0,0,0,,ISRAEL,1,1,JAPAN,0,UNITED STATES,2,17760.8999
2012,Other Agencies,Agriculture,Other Agencies,Agriculture,Applied Research (6.2),Other R&D and Knowledge Based,1,0,0,,UNITED STATES,0,0,UNITED STATES,1,ISRAEL,1,5000.0000
2013,Defense,MDA,Defense,MDA,Basic Research (6.1),Missile Defense,1,0,1,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,5,1643600.0000
2017,Defense,Army,Defense,Army,Advanced Technology Development (6.3),Other R&D and Knowledge Based,1,0,1,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,450000.0000
2007,State and IAP,State,State and IAP,State,Other,Facilities and Construction,0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,1,10794.0000
2004,State and IAP,USAID,State and IAP,USAID,Advanced Component Development & Prototypes (6.4),Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,315801.0000
2008,Defense,Other DoD,Defense,Other DoD,Applied Research (6.2),"Electronics, Comms, & Sensors",1,0,0,,ISRAEL,1,0,UNITED STATES,1,ISRAEL,1,0.0000
2013,State and IAP,State,State and IAP,State,PAMS,Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,95,1552893.3200
2013,Defense,Navy,Defense,Navy,Aircraft,Aircraft,1,0,1,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,2877488.0000
2013,Other Agencies,Treasury,Other Agencies,Treasury,Applied Research (6.2),Other R&D and Knowledge Based,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,79000.0000
2010,State and IAP,State,State and IAP,State,ERS,Land Vehicles,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,17,215077.2901
2004,Defense,Army,Defense,Army,Advanced Technology Development (6.3),Missile Defense,0,0,0,,ISRAEL,1,1,ISRAEL,1,,7,4843600.0000
2000,Defense,Navy,Defense,Navy,Launchers & Munitions,Ordnance and Missiles,0,0,0,,ISRAEL,1,1,,0,UNITED STATES,2,125750.0000
2005,Defense,Army,Defense,Army,Engines & Power Plants,Facilities and Construction,0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,-2142.0000
2005,State and IAP,State,State and IAP,State,ICT,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,16906.0000
2012,Defense,Army,Defense,Army,FRS&C,Facilities and Construction,1,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,1,464991.0000
2004,Defense,Air Force,Defense,Air Force,Electronics & Communications,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,1,,2,1651250.0000
2008,Defense,Air Force,Defense,Air Force,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,163847.7969
2013,Other Agencies,Interior,Other Agencies,Interior,Engines & Power Plants,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,7,124000.0000
2015,Other Agencies,Commerce,Other Agencies,Commerce,Aircraft,"Electronics, Comms, & Sensors",0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,8078501.0000
2002,Defense,Air Force,Defense,Air Force,Missiles & Space,Ordnance and Missiles,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,10,11854212.0000
2005,Defense,Navy,Defense,Navy,PAMS,Other R&D and Knowledge Based,0,0,0,,ITALY,1,1,ISRAEL,1,,2,479268.0000
2011,VA,VA,VA,VA,Clothing & Subsistence,Other Products,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,5,245791.0737
2009,Defense,Navy,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,6172.0000
2005,Defense,Army,Defense,Army,PAMS,Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,ISRAEL,1,,3,312064.0000
2009,Defense,Other DoD,Defense,Air Force,PAMS,Other Services,0,0,0,,ISRAEL,1,0,UNITED STATES,1,,5,829690.2969
2017,Defense,Army,Defense,Army,FRS&C,Facilities and Construction,1,0,0,X,,1,1,,1,ISRAEL,0,0.0000
2018,Defense,DLA,Defense,DLA,Other,Land Vehicles,0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,19458.1992
2007,Defense,Navy,Defense,Navy,Electronics & Communications,Aircraft,0,0,0,,ISRAEL,1,0,UNITED STATES,1,ISRAEL,2,205150.0000
2015,Other Agencies,BROADCASTING BOARD OF GOVERNORS,Other Agencies,BROADCASTING BOARD OF GOVERNORS,PAMS,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,171000.0000
2015,HHS,HHS,HHS,HHS,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,12856.7700
2015,Defense,DLA,Defense,DLA,Ground Vehicles,Land Vehicles,1,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,4,20981.0000
2016,Defense,DLA,Defense,DLA,Other,Aircraft,0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,2,3211.0001
2017,Defense,DLA,Defense,DLA,Engines & Power Plants,Land Vehicles,0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,2,4126.5000
2010,Defense,DLA,Defense,DLA,Other,Ships & Submarines,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,8,126582.0000
2005,State and IAP,State,State and IAP,State,Other,Facilities and Construction,0,0,0,,,1,1,ISRAEL,0,UNITED STATES,3,16999.0000
2004,State and IAP,State,State and IAP,State,NULL,NULL,0,0,0,,ISRAEL,1,1,,0,UNITED STATES,1,23837.9395
2007,Defense,Air Force,Defense,Air Force,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,UNITED STATES,0,0,UNITED STATES,1,ISRAEL,1,-750.0000
2009,Defense,Army,Defense,Army,Aircraft,Aircraft,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,0.0000
2004,Defense,Navy,Defense,Navy,PAMS,Other R&D and Knowledge Based,0,0,0,,ITALY,1,1,ISRAEL,1,,3,561210.0000
2017,DHS,ICE,DHS,ICE,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,51,9422.0303
2017,Defense,Air Force,Defense,Air Force,PAMS,Aircraft,0,0,0,A,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,-1297.8500
2017,Defense,Navy,Defense,Army,Aircraft,"Electronics, Comms, & Sensors",0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,91460.2813
2001,Defense,Navy,Defense,Navy,Other,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,,0,UNITED STATES,1,95608.0000
2011,HHS,HHS,HHS,HHS,PAMS,Other R&D and Knowledge Based,1,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,20000.0000
2013,Energy,Energy,Energy,Energy,FRS&C,Facilities and Construction,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,3,0.0000
2009,Defense,Navy,Defense,Navy,Launchers & Munitions,Ordnance and Missiles,1,0,0,,,1,1,,1,ISRAEL,0,0.0000
2016,Defense,Other DoD,Defense,DLA,Aircraft,Aircraft,1,0,1,X,,1,1,,1,ISRAEL,0,0.0000
2016,Defense,Navy,Defense,Navy,Launchers & Munitions,Ordnance and Missiles,1,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,2869614.0000
2010,Other Agencies,Commerce,Other Agencies,Commerce,Other,Facilities and Construction,1,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,460645.0000
2006,Defense,Army,Defense,Army,Aircraft,Aircraft,1,0,1,,ISRAEL,1,1,,1,ISRAEL,5,495832.0000
2001,Defense,Army,Defense,Army,PAMS,Other R&D and Knowledge Based,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,125590.0000
