"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"BAT FLD CMBT ID SYS - NEAR TRM",2152,,,,,,,,,,,,-0.05,,,,,,,,,,,,
"BGM-109 TOMAHAWK",865,1092886,43663,72735,,,,,,,,-7050.5898,,,,,,,-80370.5,,0,,,,
"BJL",2061,,,,,,,,,,,,-101523.8398,-226061.9297,-1060171.27,,,0,,,,,,,0
"BJM",2062,,,,,,,,,,,,,,0,,,,,-289016.375,,,,,
"BJN",2063,,,,,,,,,,-1282,,,,-2854.55,,,,,,,,,,
"BLACK HAWK (UH-60A/L)",52,,,,,,,,,,61148058.5186,178478438.9717,239901249.5172,311932836.879,71378212.49,96377641.2,-3426562.33,-6664285.5301,-10934091.215,-181404.6431,-23283.7695,-801082.4239,-98139.0391,38055249.0488,184558014.9544
"BLACK HAWK UPGRADE (UH-60",1339,,,,,,,,,,,-11953.7402,26757.06,,-203090.25,5332252.3,114924213.4065,187057784.6884,398141213.0585,650218968.8008,630583151.1203,799788669.0728,219412897.2375,488014933.837,224483187.894
"BLACKHAWK",1905,190905,,,,230851,140000,,,,-439207.7998,-18522.4901,-1589294.9154,,,,0,-11500.18,0,,0,,0,0,
"BMDS",1357,,,,,69406173,175446457,179554837,338757286,362124325,352252466.1011,181231219.0938,229002901.5554,490606179.8914,413233649.8362,626682778.2697,571863372.8548,606591524.726,548217128.4891,676955730.7609,700382754.3023,632879292.9454,680325957.9767,542838601.9711,372561987.4251
"BQM-34 FIREBEE",834,,,,,,,,,,,-1670.36,-36269.5313,,,,,,,,-60522.1797,,,,
"BQM-74E SSAT",871,,,,,,,,,,,-682.5,,,,,,,,,,,,,
"BRAC ACTIVITIES",2014,,,,,,571881,271775,,,-173982.4054,-666125.5625,-180095.4729,-211475.1743,-201868.57,-129767.64,-200393.7676,-12361.54,0,-213361.9315,-27244.8008,0,,,
