"ProductOrServiceArea","ProductOrServiceCode","ProductOrServiceCodeText","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"PAMS","B554","SPECIAL STUDIES/ANALYSIS- ACQUISITION POLICY/PROCEDURES",,,,,,,,,,,,,,,,,,,,,,,,,,,183340,-131358,,,,,-1449.38,,
"PAMS","C113","EDUCATIONAL BUILDINGS",,,,,,,,,,,,,,,,,,,,510000,,,,,,,,,,,,,,,
"PAMS","H210","EQ TEST SVCS/WEAPONS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7995,10990,57004,
"PAMS","H212","EQ TEST SVCS/FIRE CONT EQUIP",,,,,,,,,,,,,,,,,,,,,10989965,783686.875,6247244,19023013.25,1319028.7,914662.0285,0,,,,,,,,
"PAMS","H214","EQ TEST SVCS/GUIDED MISSILES",,,,,,,,,,,,,,,,,,,,200,,636970.4688,119906.7002,1065031.36,815113.95,-124001.1,-480257.375,,,-15183.3798,,550019,,,
"PAMS","H216","EQ TEST SVCS/AIRCRAFT COMPONENTS",,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,
"PAMS","H268","EQ TEST SVCS/CHEMICAL PRODUCTS",,,,,,,,,,,,,,,,,,,,180000,,,,,,,,,,,,,,,
"PAMS","H299","EQ TEST SVCS/MISC EQUIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5568904,4923370,5375337,0,,,
"PAMS","L014","TECH REP SVCS/GUIDED MISSILES",,,,19910639,15958228,15618242,14306066,14341964,5060194,4364140,5923763,5238439,4762429,6980684,9766563,757449,1762007,28787320.6855,30754119.35,56149454,59919099.4375,41246321.4688,33278839.6397,21981679.42,23429507.81,28526695.039,27972964.9772,32748390.3012,41436860.0468,29849850.6093,12223054.0176,17475875.3201,14880825.3303,25547779.875,3502264
"PAMS","L023","TECH REP SVCS/VEHICLES-TRAILERS-CYC",,,,,,,,,,,,,,,,-946,0,0,,,,,,,,,,,,,,,,,
"PAMS","L059","TECH REP SVCS/ELECT-ELCT EQ",,,,,,,,,,,,,,,,,545590,542858.4571,4310618.7755,11150616.2383,597382.2891,0,-4760,,,-4464.75,,,,,,,,,
"PAMS","L061","TECH REP SVCS/POWER DISTRIBUTION EQ",,,,,,,,,,,,,,,156000,156000,,,192000,192000,192000,,192000,169838.8,148610.44,154913.3125,170114.2677,146877.875,,-100,,,,,
"PAMS","L099","TECH REP SVCS /MISC EQ",,,,,,,,,,,,,,,,,,,9909.5098,,,,,,,,,,,,,,,,
"PAMS","R408","PROGRAM MANAGEMENT/SUPPORT SERVICES",,,,,,,,,,145220,1316141,46775,,,336518,938040,-31808,690728,2940808.5,5946676,5881200.1251,6556381.8355,4702866.875,4116404,5330369.78,21633029.04,13499135.9454,30320841.9043,2555854,1034812.1875,2168651.5022,-103659.5469,0,0,
"PAMS","R414","SYSTEMS ENGINEERING SERVICES",1083000,1142000,929673,,,299596,,,,,,,,,2723461,,0,,8582189.6524,20631500.4063,38822042.0781,4772066.9444,7964339.9531,1668771.21,-992315.89,-431372.3699,-150317.1621,-44569.5596,-391709.3406,0,-440040.5938,,,,
"PAMS","R425","ENGINEERING AND TECHNICAL SERVICES",,302000,471262,568855,1175188,214606,,,,,,,,,22223,2798641,258339,40000,8462209.9054,208984079.6594,212877791.8156,286223906.2609,320697488.3752,443435603.54,311749208.3825,392675105.6922,223124707.3187,340953336.646,147170895.0955,168167921.925,113691498.0464,246716130.3558,318525426.9809,119624239.822,14543100.3809
"PAMS","R499","OTHER PROFESSIONAL SERVICES",,,,,,,,,,,,,,,,,,3708570,2378521.3957,191227.6509,200213.4474,149716.8009,132631.8441,97051.72,1368200.48,25776.4602,107040.9374,78483.1714,162317.3125,92870.9102,182057,8697.6504,,84452.375,
"PAMS","R706","LOGISTICS SUPPORT SERVICES",,,,,,,,,,,,,,,3496783,4328341,5420552,1444054.7813,1203154.5794,1618344.0303,1954584.1083,20330255.8414,25978733.2691,24601428.71,24367956.22,12191756,3682509,-3748924.5,4689534.875,524004.125,26883704.5312,33494664.75,27413785.9375,9262935.3594,-1771.04
"PAMS","R799","OTHER MANAGEMENT SUPPORT SERVICES",,1505000,1768348,1639134,101000,2830451,,,,,196842,50000,85470,124992,180795,145500,215246,228889.8984,73400.9394,370609.7305,-14999.7305,-29276.2598,67406.3984,,,,,,,,,,,,
"PAMS","U001","EDUCATION/TRAINING- LECTURES",,,,,,,,,,,,,,,5590,,,,,,,,,,,,,,,,,,,,
"PAMS","U008","EDUCATION/TRAINING- TRAINING/CURRICULUM DEVELOPMENT",,,,,,,,,,,,,,,,412480,257460,0,-65000,,,,,,,,,,,,,,,,
"PAMS","U009","EDUCATION SERVICES",,,,,,,,,,,,,,,,,-1088443,23364801.0899,12049623,0,0,,,,,,,,,,,,,,
"PAMS","U099","EDUCATION/TRAINING- OTHER",,,,,,,,,,,,,,,,,,,7929500,13764886.5,22476696,17743085,26566930,9565004.46,73274688,6647584.55,37890224.75,-1854544.625,-246278.6719,,-870796.4375,,,-433993.0625,
"R&D","AC11","DEFENSE AIRCRAFT (BASIC)",,,,,,,,,,,,,,,43181,,,,,,,,,,,,,,,,,,,,
"R&D","AC12","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200729,2378904.8086,
"R&D","AC13","DEFENSE AIRCRAFT (ADVANCED)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000,46554532.5,237157691.4531,8282941
"R&D","AC14","DEFENSE AIRCRAFT (ENGINEERING)",,,,,,,,,,,,,,,,,3621688,,,,,,,,,,,,,,,,,,
"R&D","AC15","DEFENSE AIRCRAFT (OPERATIONAL)",,,,,,,,,,,,,,,,124968,,429411,,,,,,,,,,,,,,,,,
"R&D","AC21","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (BASIC RESEARCH)",,,924421,,,,,,,,,-430654,,,,,,9281842.3831,0,2500000,25222344.3829,31714561.9375,27643179.125,15231031.45,12713120.6,9335325.4063,2900422.8501,396412.5938,-316000,-432385.0313,-1119489.2235,,-236502.0429,0,0
"R&D","AC22","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",,,,,,,,,,,,,,,-107683,,,,,,,,,,,,,,,,,,,,
"R&D","AC23","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ADVANCED DEVELOPMENT)",,15929000,24885615,30008373,28783838,48148209,21234538,4687391,20580194,,-429995,,,,,-222181,,,,,,,,,,,,494511,0,0,,,0,,
"R&D","AC24","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ENGINEERING DEVELOPMENT)",,,,937056,229124560,41125343,24032588,19108701,20798676,12447275,14291836,429932,477604,-159778,16740271,13116410,9880544,12473793.3926,14269609.9531,13249588.6992,29868234.5263,8461623.8795,73940549.8089,5283187.04,11185391.91,57369585.9412,144112341.4238,91182051.2578,12087000.8948,86743179.19,59949973.334,57810077.668,20325525.3223,20827193.87,6074.2598
"R&D","AC25","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (OPERATIONAL SYSTEMS DEVELOPMENT)",,,,,,,,,,,,47790,,,,,,,,,,,,,3382333,7599012,0,11005415,15881530.25,27970420.4688,43049598.9502,29895928.1825,49536190,40189962.9687,1556220
"R&D","AC27","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (COMMERCIALIZED)",,,,,,,,,,,,,,,,,13609975,6275561,0,-3583,-2840,0,-359672.375,-174808.54,,2987421,-55753.5605,-1176490,,,-27809.0508,-9055.4902,-62234.1484,,
"R&D","AC41","DEFENSE TANK - AUTOMOTIVE (BASIC)",,,,,,,,,,,,,,,99999,83055,,,,,,,,,,,,,,,,,,,
"R&D","AC46","R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (MANAGEMENT/SUPPORT)",,,,,,,,,,,,,,,,,,,533322.75,,,,,,,,,,,,,,,,
"R&D","AC51","R&D- DEFENSE SYSTEM: WEAPONS (BASIC RESEARCH)",,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
"R&D","AC52","R&D- DEFENSE SYSTEM: WEAPONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",,,,,,,,,,,,,,,497553,359977,51650,,,,,,,,,,278851,0,,,,,,,
"R&D","AC55","R&D- DEFENSE SYSTEM: WEAPONS (OPERATIONAL SYSTEMS DEVELOPMENT)",,,,,,,,,,,,,,,,,,4981600,,,,,,,,,,,,,,,,,
"R&D","AC56","R&D- DEFENSE SYSTEM: WEAPONS (MANAGEMENT/SUPPORT)",,,,,,,,,,,,,,,,749872,,,86510.5703,,,74200,,,,,,,,,,,,,
"R&D","AC61","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (BASIC RESEARCH)",,,,,,,,,,,,,,,,45877,,,,,,,,,,,,,,,,,,,
"R&D","AD21","R&D- DEFENSE OTHER: SERVICES (BASIC RESEARCH)",,,,,,,,,,,,,,,,,,-2143644.6406,-66702.1191,,,,,,,,,,,,,,,,
"R&D","AD92","OTHER DEFENSE (APPLIED/EXPLORATORY)",,,,,,,,,,-31140,,,,,,,,8847952.8984,-2576859.3086,749991,374991,294795.001,569365.5079,449855.33,,31998.8691,,,,,,,,,
"R&D","AD96","OTHER DEFENSE (MANAGEMENT/SUPPORT)",,,,,,,,,,,,,,,,,,,,,7105000,174875,5370217,543253,1470000,,0,0,-44046,,,,,,
"R&D","AJ11","PHYSICAL SCIENCES (BASIC)",,,,,,,,,,,,,,,,1437204,,,,,,,,,,,,,,,,,,,
"R&D","AJ41","ENGINEERING (BASIC)",,,,,,,,,,,,,,,,,,,,,,1939870,1395000,2257421,195000,,-125170.7266,-64986.75,-8632.7803,,,,,,
"R&D","AJ93","R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (ADVANCED DEVELOPMENT)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,349943,,,,,,
"R&D","AN75","R&D- MEDICAL: SPECIALIZED MEDICAL SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT)",,,,,,,,,,,,,,,,,,3877.75,,,,,,,,,,,,,,,,,
"R&D","AZ11","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)",,,,,,,,,,,,,,,,,,38000,,,,,,,,,,,,,,,,,
"R&D","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",,,,,,,,,,,,,,,,,,,,497738,,0,,,,,,,,,,,,,
"Ships","2020","RIGGING AND RIGGING GEAR",,,,,,,,,,,,,,,,,,5440327,-33389.9883,,,,,,,,,,,,,,,,
"Ships","2030","DECK MACHINERY",,,,,,,,,,,,,,,,,,,,,,,304551.8907,80724.9,80724.9,7256.99849999999,362860.1876,181430.1015,,,,,,,
"Ships","2090","MISC SHIP & MARINE EQ",,,,,,,,,,,,,,,,,,,,,,,,,22870,0,,,,,,,,,
