"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"C-130 HERCULES",716,290907994,289224522,225304836,278646966,,,,,0,-358453,-200963.5391,-177567.5,,,,,,,,,,,,
"C-130H",1827,,,,,,,391088,83924538.2321,55109134.271,52253985.0928,32986303.9229,40207657.5906,47868985.252,32821095.7,45868139.3657,334209.012,-977366.3081,-18194.8698,-307596.1563,,,,,23360
"C-137 STRATOLINER",1423,1520115,4863182,1192267,121177,,,,,,,,,,,,,,,,,,,,
"C-141 STARLIFTER",1420,36374714,18553253,32652755,8869849,,,,,,,,,,,,,,,,,,,,
"C-17A",614,-4746228,-682672,23465356,410914152,1244392913,1481871388,1909306530.18,3364909338.9866,2297696688.43,3932001776.8615,3460240039.8859,3347466941.0857,5480139158.3588,1895521953.8973,1666664559.9275,902645271.2297,924947627.1701,463346960.3522,15511115.3789,-14166599.5226,-37284920.5283,-2975296.3985,31855646.8125,426761.7573
"C-17A CARGO TRANSPORT",1430,473930365,339277164,850544378,447731056,,,,,,,,,,,,,,,,,,,,
"C-18",1429,-226140,143096,,-162926,,,,,,,-35844.8398,0,,,,,,,,,,,,
"C-20",1431,44201466,38512605,42632788,43702260,,,,,,,,,,,,,,,,,,,,
"C-45 EXPEDITOR",1411,,1006235,40623,2210161,,,,,,,,,,,,,,,,,,,,
"C-46 COMMANDO",1416,877096,820116,135516,,,,,,,,,,,,,,,,,,,,,
"C-47 SKYTRAIN",719,5215991,-27834,,5548652,,,,,,,,,,,,,,,,,,,,
"C-5 GALAXY",1404,158617287,139475878,135573419,176756127,-754403,,,,,,-232944,,,,,,,,,,,,,
"C-5 RERP",1326,,,,9547000,46760443,1544327,65212381,25875720,141181056,348898360,508931110.0403,727665293.6407,950821573.5185,1133481101.43,937822666.57,272149011.3292,79190439.6709,69908814.2643,63185315.8034,38251447.8867,22771467.3223,19080440.5859,4873142.3128,1523407.1074
"C-5A",1348,,,,,13206885,49570,3236183,40490747.4004,28442432.6119,2817315.2434,12679171.9767,8638933.676,4921392.4222,4390898.32,32915017.94,73146.3902,,,,,,,962248,
"C-5B",615,,,,,,169680,,87505138.6457,103289514.6386,50415561.4695,73559196.0579,84062213.9461,70843042.706,28288227.35,50130856.78,34613027.1241,22115149.8956,28980023.3418,742209.5313,877242.0171,-9214831.375,,-293284.5725,
"C-7 CARIBOU",1405,493468,1005230,270915,224998,,,,,,,,,,,,,,,,,,,,
"C/MH-53E",16,,,,,,,,,3804403,-242836,322025.2344,247692,,,,,,,,,,,,
"C130-J",631,,,,1899047,270801127,50061515,237388730,862238710.4574,1134314989.6053,784149435.3913,2910898572.6128,3185095001.3643,823593233.472,1185346709.83,2214070332.43,1421063812.9974,5508991431.5154,1582463979.6789,1770858003.6807,1772923719.7829,3176123652.5744,2302183818.1519,1208865544.8658,1834002010.9475
"CBDP",1344,544497,1215433,,,10342,-46346,,,,,,,,,,,,,,,,,,
"CCIC2S",1989,,,,,,,,,,,,7708.2202,34944.3906,39801.21,33795.74,-1999.25,,,,,,,,
"CEC",1843,,,,,,5000,,,,,,,,,,,,,,,,,,
"CGN-38",14,,,,,,,,202390.1367,,,,,,,,,,,,,,,,
"CGS",1816,,,,,,34484701,46818314.75,60837332.6719,79844213.1524,86076146.276,53344302.3488,25338619.7795,31178880.3824,22465356.06,9696398.6298,82207.4901999999,139825.8701,-139825.8701,0,-177630.3125,,,-50155.9587,
"CH-47D",15,,,,,,,,,-601.9,,,,,,,,,,,,,,,
"CH-47F",683,,,,,,,,,12062,510645,,191088,0,,3232.44,,,,,,,,,
"CH-53 SEA STALLION",760,162975,622770,684116,78900,,,,,,,,,,,,,,,,,,,,
"CHCS II",1958,,,,,3527,,6820311,,,,,,,,,,,,,,,,,
"CHEYENNE",17,,,,,,,,,167131,,,,,,,,,,,,,,,
"CHEYENNE MOUNTAIN UPGRADE",1649,29250,,,,,,,,,,,,,,,,,,,,,,,
"CITS",1993,,,,,,,,,16663972.2735,21665863.0469,50024033.3439,7768510.5859,5089520.4531,0,,-138439.21,,,,-1425737.6876,,,,
"CMM",1980,,,,,,,,,,,,,80600,,3000,,,,,,,,,
"CMU",1814,,,,,,,,,,7272473.7334,9828182.8828,2130739.2695,10029796.5703,9300969.59,7098223.91,,,,,,,,,
"CNN",2067,,,,15203862,,,,,,,,,,,,,,,,,,,,
"CNQ",1919,23173187,13994565,20665541,22332500,16931518,8659158,5214610,5020991,1874063,404359,961927.25,0,,-83612.03,,,,,,,,,,
"COBRA DANE",1737,5902229,2992526,1728594,,,,,,,,,,,,,,,,,,,,,
"COBRA JUDY",1739,4349991,12519518,15560738,13077147,,,,,,,,,,,,,,,,,,,,
"COBRA JUDY REPLACEMENT",1359,,,,,5133871,,,,,,,,,,,,,,,,,,,
"COMANCHE",661,,,,,-1507139,-36596,,,,,,,,,,,,,,,,,,
"CVN 68",57,,,,,,2300,,,,,,,,,13422,,,,,,,,,
"CX-2",1408,,,,88000,,,,,,,,,,,,,,,,,,,,
"CX-3",1406,,8596942,7348636,617150,,,,,,,,,,,,,,,,,,,,
"DCAPES",1995,,,,,,,,1960180.7734,12511208,9484061.9766,-639819.242,0,1113971.6134,1377516.97,2457180.03,624638.65,,,,,,,,
"DCGS ARMY",1381,,,,,,,,,,,,,,,,,0,,,,,,,
"DD(X)",86,,,,,,,,,,,,,,,,6172.25,,,,801642,4004236,5523374,3799325,709960.3198
"DEAMS",1996,,,,,,,,,461373.9375,32001.6699,70233.7969,18255.7598,1627784.875,1950913.5732,,,,,,,,,,
"DEAMS Inc 1",2101,,,,,,,,,,,,,,,,184004.8477,144235.5469,,5299364.5938,8584555.7187,10825306.907,26290848.4227,27127956.6501,35392510.9466
"DEF ENVIR & RESTORA PRG (",611,190820729,143693675,224429266,235252400,778453,,,,,,,,,,,,,,,,,,,
"DEF MET SAT PROGRAM (DMSP",1746,49054138,44848106,12317606,8034005,,,,,,,,,,,,,,,,,,,,
"DEF METEOR SAT PROG",1517,71887275,56901038,67951786,20997476,,,,,,0,,,,,,,,,,,,,,
"DEFENSE SUPPORT PROGRAM",1735,18517753,25946887,-6019573,7908475,,,,,357765.25,,,,,,,,,,,,,,,
"DERP",2016,11889409,11533738,6231799,45695122,193704539,54408922,41010095,61630953.1203,43558261.7451,89192497.6516,109434017.831,134158364.0215,183586032.2749,123019277.825,142150984.72,80273776.9011,121669535.868,76518890.2301,68779283.3439,40904212.4369,13836869.2924,11782066.1377,8632315.2745,3029559
"DMS",1960,,,,,-4849,42363958,21245144,38373745.8454,18756975.769,22341338.0728,22675671.6966,18283410.8486,17628245.6655,10410475.1501,10387129.9909,-63291.7107,-99793.1891,-15484.59,,,,0,,
"DMSP",617,,,,,21403281,34044927,16743250,33195352,32243863.0996,29114157.0996,31198491,27077769.6758,24027345.1387,33843567.34,6705349,12396833,11735348,2368305,0,,,,,
"DNC",2074,,,,317727,320088,324756,334956,342348,-51632.2891,,,,,,,,,,,,,,,
"DPPS",1950,,,,,,,,27958,,,,257414.4063,257414.4063,0,-42902.4,,,,,,,,,
"DSCS-3 DEF STAT COMM SYS",1641,29311385,23742163,15163277,7335963,,,,,,,,,,,,,,,,,,,,
"DSP",618,,,,,,,,29800,91502,101132,93753,58122,-3750,,,,,,,,,,,
"DTS",1970,,,,,7007,,,5909799.375,30887203.3555,36292699.3965,56504075.7813,42267123.3125,16562500.9844,0,,-757453.4142,-11490.3604,,,,,,,
"Department of Defense Healthcare Management System Modernization (DHMSM)",2237,,,,,,,,,,,,,,,,,,,,,11245878.3203,3512952.4756,229878.5706,82391.6504
"Distributed Common Ground System - Army Increment 2 (DCGS-A Inc 2)",2239,,,,,,,,,,,,,,,,,,,,256617,0,,-1943.12,
"E-10",1371,,,,,2447877,1170650,-95000,27233257,417706,544000,,,,,,,,,,,,,,
"E-2 HAWKEYE",732,,,36073,,,,,,,,,,,,,,,,,,,,,
"E-2C REPRODUCTION",681,,,,,,,,1602000,0,0,1452000,,0,,,,,,,,,,,
"E-3A",4,35403039,62557259,78775172,334044752,,,406012,91980344.8354,48657495.876,26162604.0547,29416626.8922,37336886.2238,37041777.1043,30269631.8,35613407.385,2084533.7514,2487212.6125,1552738.4766,79226,0,,0,,967439.875
"E-4 (AABNCP)",21,,,,,,,6e+05,62824454.75,148017116.4513,140246992.1406,184216402.7149,108502721.8827,135680229.8907,124675134.29,122888362.16,8070857.3594,1819652,0,0,,71256,,,
"EASTERN TEST RANGE",1733,980341,431333,,-1573599,,,,,,,,,,,,,,,,,,,,
"EELV",72,,,,,205000,-702056,887496007,309223423.8501,1452836014.0667,1408366777.7144,1309035292.8859,1672255916.9974,2460310333.7666,1289441146.06,2568537219.7661,1781588556.2264,1633593931.9249,2095740465.1631,1559326196.2735,1276082839.2148,578538242.5391,401045342.0441,394313716.1172,133283990.6328
"EF-111A",5,,,,,,,,,,,498460.7598,190584,,165000,153068,,,,,,,,,
"ENGINE GAS TURB AN/32 85-",1761,,,55748,903876,,,,,,,,,,,,,,,,,,,,
"EPA SUPERFUND",2021,,,,,,13490,11237,,683462,,,,10842,0,,,,,,,,,,
"EVOLVED EXPENDABLE LV PRO",1521,81279848,394871360,,,,,,,,,,,,,,,,,,,,,,
"F-100 Engine",1507,840087508,1047840017,830195023,835596708,,,,,,-352619.79,,-245105.6523,,,,,,,,,,,,
"F-100 SUPER SABRE",1893,989561,86884,52931,-156773,,,,,,,,,,,,,,,,,,,,
"F-100 UPGRADE",1509,,63111,,45063389,,,,,,,155947.6094,0,,,,,,,,,,,,
"F-101",1505,146256311,196818009,93573225,91902000,,,,,-16644,16644,0,,,,,,,,,,,,,
"F-101 VOODOO",1443,404460,,,81891,,,,,,,,,,,,,,,,,,,,
"F-104 STARFIGHTER",1444,,,96817,,,,,,,,,,,,,,,,,,,,,
