"CalendarYear","exclude","NAICS_Code","naics_text","def4_mismatch","def_obl","US_rcp","def_ratio","OPTAX.display-label","US_pay","US_emp","us_avg_sal","def_cont_count","us_estab","def_hh_index","def_top4","def_top8","def_top12","def_top20","def_top50"
2012,"No","3256","Soap, cleaning compound, and toilet preparation manufacturing",NA,6308713.269,86805714000,7.2676244204385e-05,"Total",5266511000,"91214",57737.9678558116,142,"2220",526.939515539935,0.384423289739189,0.567029274494857,0.670496003346693,0.787983973540008,0.935671999299063
2012,"No","3259","Other chemical product and preparation manufacturing",NA,567942445.2455,46328343000,0.0122590709804903,"Total",4712945000,"81445",57866.5970900608,709,"2420",552.125492591107,0.375573316979051,0.586138114029242,0.705320294999422,0.813543610802522,0.937145330596873
2012,"No","3261","Plastics product manufacturing",NA,119898741.7836,173082420000,0.000692726284873992,"Total",24921600000,"571968",43571.6683450822,1131,"10825",326.745673004958,0.313602047526544,0.396081467279546,0.457576009218833,0.548435636197195,0.695433165945912
2012,"No","3262","Rubber product manufacturing",NA,323255314.1049,45488994000,0.007106231324986,"Total",6152106000,"127956",48079.855575354,744,"1942",1814.0608631559,0.649162877370101,0.757624603004568,0.814698032553855,0.875900386350264,0.94160673199203
2012,"No","3271","Clay product and refractory manufacturing",NA,1868644.2315,7290688000,0.000256305609498034,"Total",1450917000,"34370",42214.634855979,92,"1243",394.470051357948,0.318393254730147,0.473121225269466,0.566092025527439,0.706360529816026,0.944230695258484
2012,"No","3272","Glass and glass product manufacturing",NA,47301503.5997,23217580000,0.0020373141214416,"Total",4074785000,"83475",48814.4354597185,122,"1810",2719.08880236796,0.845608749070161,0.914469001962455,0.935318921788778,0.959142874515052,0.99033005185161
2012,"No","3273","Cement and concrete product manufacturing",NA,60326191.1008,41068560000,0.00146891420348802,"Total",6859319000,"152909",44858.8310694596,225,"8865",2146.32685962853,0.682489296729989,0.793048030779669,0.828833667265301,0.874974969086317,0.953347368704818
2012,"No","3274","Lime and gypsum product manufacturing",NA,708677.0571,6039963000,0.000117331357344408,"Total",682482000,"12124",56291.8178818872,9,"310",3172.77063851563,0.947232062186942,1,1,1,1
2012,"No","3279","Other nonmetallic mineral product manufacturing",NA,42455812.9774,21425469000,0.0019815581622694,"Total",3316057000,"69545",47682.1770076929,421,"3160",961.07292374236,0.443195654935889,0.569698664714696,0.639304913723672,0.732623089489569,0.853758034154678
2012,"No","3311","Iron and steel mills and ferroalloy manufacturing",NA,20279005.0693,112594350000,0.000180106773291022,"Total",7792245000,"102974",75671.9657389244,225,"406",778.449838468001,0.509391917247288,0.637162215122922,0.708254209209191,0.796637358912716,0.912273284902423
2012,"No","3312","Steel product manufacturing from purchased steel",NA,33406755.0555,25911590000,0.0012892591714943,"Total",2666958000,"47219",56480.6116182045,521,"687",233.024677859756,0.238395463086072,0.344851328257327,0.414674099203624,0.518210914112204,0.710140290890171
2012,"No","3313","Alumina and aluminum production and processing",NA,66097508.0428,37652496000,0.00175546152485615,"Total",3151999000,"55998",56287.7067038109,356,"539",1912.09400080526,0.778907754747299,0.841253869580405,0.878455750640534,0.909966686330362,0.951796245952007
2012,"No","3314","Nonferrous metal (except aluminum) production and processing",NA,35072653.2636,61486822000,0.000570409270194514,"Total",3645249000,"60733",60020.8947359755,402,"1029",267.297205224847,0.247547365709777,0.372625922012341,0.475335557400365,0.618322115142447,0.814022704171932
2012,"No","3315","Foundries",NA,9895002.4019,31894334000,0.000310243267719589,"Total",5980669000,"125573",47627.0296958741,135,"1880",1392.15930239186,0.651929288308828,0.781324107545962,0.83371042849502,0.890821256873237,0.960051640602256
2012,"No","3321","Forging and stamping",NA,46517537.9424,34440170000,0.00135067678070114,"Total",5640031000,"111731",50478.6585638722,596,"2535",767.78268170186,0.454117077887089,0.548067655713979,0.592490016492905,0.649803545602276,0.75883243602526
2012,"No","3322","Cutlery and handtool manufacturing",NA,141434234.6104,9822300000,0.0143992990043472,"Total",1733858000,"35040",49482.2488584475,619,"1189",3295.64664182829,0.740915665974765,0.79642767346645,0.824963361709768,0.859810533051593,0.913293962208643
2012,"No","3323","Architectural and structural metals manufacturing",NA,355181169.0583,76076067000,0.00466876355553843,"Total",14837942000,"320394",46311.5476569474,1454,"12366",442.752586258239,0.313387423174696,0.421422485051635,0.484725262685881,0.570368750741954,0.737526702254437
2012,"No","3324","Boiler, tank, and shipping container manufacturing",NA,3146619435.0548,35099468000,0.0896486361290376,"Total",4912510000,"88594",55449.6918527214,831,"1535",3654.85853484428,0.919720528093559,0.944162252543316,0.957897337640463,0.972508617173365,0.986240519728685
2012,"No","3325","Hardware manufacturing",NA,318514681.1844,7426842000,0.0428869607276417,"Total",1205942000,"26167",46086.3683265181,1627,"612",957.721570462283,0.431427493872708,0.481872276628386,0.516805523092502,0.574869197910274,0.687623344425516
2012,"No","3326","Spring and wire product manufacturing",NA,40929997.9063,8667723000,0.00472211651275658,"Total",1633723000,"37694",43341.7254735502,811,"1292",191.613690369748,0.211077946255083,0.304271843033276,0.36854832782949,0.455065289685911,0.617759589997177
2012,"No","3327","Machine shops; turned product; and screw, nut, and bolt manufacturing",NA,297616642.6619,66914783000,0.00444769644791197,"Total",18913063000,"387612",48793.8015334923,1955,"23766",831.704514717628,0.436778994391946,0.485171401701418,0.520402005755172,0.570956398247417,0.682800747346566
2012,"No","3328","Coating, engraving, heat treating, and allied activities",NA,12882731.106,26924797000,0.000478470872259501,"Total",5369071000,"124531",43114.3329773309,229,"5771",929.403703840934,0.558930933698279,0.692743763540538,0.748446623117583,0.808790258986907,0.916503928314115
2012,"No","3329","Other fabricated metal product manufacturing",NA,5174171868.3993,74554845000,0.0694008802298402,"Total",13456414000,"256788",52402.814773276,6290,"6436",479.731372006811,0.379810607654263,0.501486169416147,0.579867457007138,0.676936905296458,0.803916636236284
2012,"No","3331","Agriculture, construction, and mining machinery manufacturing",NA,681976858.097,117204264000,0.00581870347393675,"Total",11823665000,"213769",55310.4753261698,678,"3082",2031.60736460067,0.715272446008602,0.833375451826047,0.893677778909452,0.921045123125666,0.955486534769783
2012,"No","3332","Industrial machinery manufacturing",NA,142391308.3525,32299286000,0.0044084970903846,"Total",6634191000,"97136",68297.9636797892,630,"3292",779.905249688691,0.443676518259676,0.592852331606113,0.665105351729833,0.752642484199362,0.861773593413215
2012,"No","3333","Commercial and service industry machinery manufacturing",NA,2140433599.5302,24965486000,0.0857357072692356,"Total",4670923000,"80287",58177.824554411,2124,"2028",359.464108748313,0.296291334296437,0.447246505474824,0.561168482199098,0.701722376573984,0.864145411956815
