"EntityID","fiscal_year","EntityText","EntityCategory","EntitySizeCode","EntitySizeText","UnknownCompany","IsEntityAbove2018constant10ThousandThreshold","AnyEntityUSplaceOfPerformance","AnyEntityForeignPlaceOfPerformance","Action_Obligation_Then_Year","ObligatedAmountIsSmall","MajorityNotSmall","ObligatedAmount_OMB20_GDP20","NumberOfActions","first_year_2018T","last_year_2018T","active_2007_to_2016","first_year","first_graduate"
"362100",2007,"174208777","PDuns-1","S","Always Small Vendor",NA,1,1,0,16804,16804,0,20882.3163912017,1,2007,2015,7,2007,2012
"44856",2007,"002036507","PDuns-1","M","Medium Vendor",NA,1,1,0,71327.2105,NA,NA,88638.2633279483,71,2007,2012,3,2004,2006
"766",2007,"030569029","PDuns-1","S","Always Small Vendor",NA,1,1,0,28200,28200,0,35044.1158195601,1,2007,2009,2,2007,NA
"40426",2007,"005123823","PDuns-1","S","Always Small Vendor",NA,1,1,0,11032,11032,0,13709.4569404747,1,2007,2008,2,2007,NA
"243919",2007,"121549869","PDuns-1","S","Always Small Vendor",NA,1,1,0,15300,15300,0,19013.2968808252,1,2007,2010,3,2006,2010
"72683",2007,"006273924","PDuns-1","S","Always Small Vendor",NA,1,1,0,19736,19736,0,24525.9102771219,2,2007,2012,3,2004,NA
"438599",2007,"465464944","PDuns-1","M","Medium Vendor",NA,1,1,1,60320.3601,NA,NA,74960.0597738288,39,2007,2008,2,2005,NA
"575137",2007,"884032541","PDuns-1","S","Always Small Vendor",NA,1,1,0,109215.6016,109215.6016,0,135722.134460047,5,2007,2020,10,2004,NA
"80736",2007,"012893657","PDuns-1","S","Always Small Vendor",NA,1,1,0,18868.2803,18868.2803,0,23447.5957499689,3,2007,2014,4,2006,NA
"583369",2007,"797082745","PDuns-1","S","Always Small Vendor",NA,1,1,0,54545,54545,0,67783.0247297129,2,2007,2011,5,2007,NA
"233532",2007,"080432136","PDuns-1","M","Medium Vendor",NA,1,1,0,29465,NA,NA,36616.1302348701,1,2007,2008,2,2007,NA
"675845",2007,"963643952","PDuns-1","S","Always Small Vendor",NA,1,1,0,8700,8700,0,10811.482540077,1,2007,2007,1,2007,NA
"524834",2007,"801359717","PDuns-1","S","Always Small Vendor",NA,1,1,0,16200,16200,0,20131.726109109,1,2007,2007,1,2007,NA
"29572",2007,"009755257","PDuns-1","S","Always Small Vendor",NA,1,1,0,76775,76775,0,95408.2266683236,2,2007,2007,1,2007,NA
"317424",2007,"141718770","PDuns-1","S","Always Small Vendor",NA,1,1,0,8925,8925,0,11091.089847148,1,2007,2008,2,2007,NA
"325331",2007,"128583593","PDuns-1","M","Medium Vendor",NA,1,1,0,25000,NA,NA,31067.4785634398,1,2007,2007,1,2007,NA
"675496",2007,"963620448","PDuns-1","S","Always Small Vendor",NA,1,1,0,15389,15389,0,19123.897104511,5,2007,2009,3,2007,NA
"572269",2007,"939218061","PDuns-1","S","Always Small Vendor",NA,1,1,0,4592.94,4592.94,0,5707.64259972661,9,2007,2011,5,2007,NA
"389558",2007,"184215593","PDuns-1","S","Always Small Vendor",NA,1,1,0,1e+05,1e+05,0,124269.914253759,1,2007,2014,4,2007,NA
"179267",2007,"108714036","PDuns-1","S","Always Small Vendor",NA,1,1,0,19860,19860,0,24680.0049707966,1,2007,2007,1,2007,NA
"464707",2007,"622439581","PDuns-1","S","Always Small Vendor",NA,1,1,0,24690,24690,0,30682.2418292531,1,2007,2007,1,2007,NA
"86007",2007,"017566688","PDuns-1","S","Always Small Vendor",NA,1,1,0,264890,264890,0,329178.575866783,1,2007,2007,1,2007,NA
"392775",2007,"151661134","PDuns-1","S","Always Small Vendor",NA,1,1,0,155000,155000,0,192618.367093327,1,2007,2009,3,2007,NA
"335308",2007,"193918914","PDuns-1","S","Always Small Vendor",NA,1,1,0,24000,24000,0,29824.7794209022,1,2007,2016,7,2007,NA
"365286",2007,"160828281","PDuns-1","S","Always Small Vendor",NA,1,1,0,97650,97650,0,121349.571268796,1,2007,2017,1,2007,NA
"306757",2007,"154590343","PDuns-1","N","Sometimes Small Vendor",NA,1,1,0,93000,9000,1,115571.020255996,2,2007,2008,2,2007,2007
"92759",2007,"017963435","PDuns-1","S","Always Small Vendor",NA,1,1,0,5817.6401,5817.6401,0,7229.57636386231,15,2007,2009,3,2007,NA
"469389",2007,"788851470","PDuns-1","S","Always Small Vendor",NA,1,1,0,15182.36,15182.36,0,18867.105753697,8,2007,2007,1,2007,NA
"459040",2007,"361111755","PDuns-1","S","Always Small Vendor",NA,1,1,0,92414.2998,92414.2998,0,114843.171119672,170,2007,2014,7,2007,NA
"339674",2007,"157652269","PDuns-1","S","Always Small Vendor",NA,1,1,0,11755,11755,0,14607.9284205294,1,2007,2014,6,2005,2005
"419224",2007,"557673964","PDuns-1","M","Medium Vendor",NA,1,1,1,9600,NA,NA,11929.9117683609,1,2007,2020,8,2007,NA
"504545",2007,"807678276","PDuns-1","S","Always Small Vendor",NA,1,1,0,24890,24890,0,30930.7816577607,1,2007,2007,1,2007,NA
"273664",2007,"108261855","PDuns-1","S","Always Small Vendor",NA,1,1,0,29160,29160,0,36237.1069963962,3,2007,2020,8,2007,2013
"573786",2007,"939640991","PDuns-1","M","Medium Vendor",NA,1,1,0,44704,NA,NA,55553.6224680005,1,2007,2012,6,2007,NA
"117483",2007,"004183182","PDuns-1","S","Always Small Vendor",NA,1,1,0,427000,427000,0,530632.533863552,5,2007,2010,4,2007,NA
"152983",2007,"059020511","PDuns-1","S","Always Small Vendor",NA,1,1,0,21729.1495,21729.1495,0,27002.7954517211,11,2007,2017,4,2004,2009
"369113",2007,"144270621","PDuns-1","S","Always Small Vendor",NA,1,1,0,10950,10950,0,13607.5556107866,1,2007,2007,1,2005,NA
"189941",2007,"101377526","PDuns-1","S","Always Small Vendor",NA,1,1,0,15000,15000,0,18640.4871380639,1,2007,2008,2,2007,NA
