,NAICS_Code, Action.Obligation , Obligation.2016 , minyear ,maxyear,2007 to 2012,1997 to 2002,,2007 NAICS U.S. Matched to 2012 NAICS U.S. (Full Concordance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,339,339994,"Broom, Brush, and Mop Manufacturing",339994,"Broom, Brush, and Mop Manufacturing",,,,,,,,,,,,,339,339931,Doll and Stuffed Toy Manufacturing,339931,Doll and Stuffed Toy Manufacturing,,,,,337,337212,Custom Architectural Woodwork and Millwork Manufacturing,337212,Custom Architectural Woodwork and Millwork Manufacturing,
,,,,,,,,339,339995,Burial Casket Manufacturing,339995,Burial Casket Manufacturing,,,,,,,,,,,,,339,339932,"Game, Toy, and Children's Vehicle Manufacturing",339932,"Game, Toy, and Children's Vehicle Manufacturing",,,,,337,337214,Office Furniture (except Wood) Manufacturing,337214,Office Furniture (except Wood) Manufacturing,
,,,,,,,,339,339999,All Other Miscellaneous Manufacturing,339999,All Other Miscellaneous Manufacturing,,,,,,,,,,,,,339,339941,Pen and Mechanical Pencil Manufacturing,339941,Pen and Mechanical Pencil Manufacturing,,,,,337,337215,"Showcase, Partition, Shelving, and Locker Manufacturing",337215,"Showcase, Partition, Shelving, and Locker Manufacturing",
,,,,,,,,423,423110,Automobile and Other Motor Vehicle Merchant Wholesalers,423110,Automobile and Other Motor Vehicle Merchant Wholesalers,,,,,,,,,,,,,339,339942,Lead Pencil and Art Good Manufacturing,339942,Lead Pencil and Art Good Manufacturing,,,,,337,337910,Mattress Manufacturing,337910,Mattress Manufacturing,
,,,,,,,,423,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,,,,,,,,,,,,,339,339943,Marking Device Manufacturing,339943,Marking Device Manufacturing,,,,,337,337920,Blind and Shade Manufacturing,337920,Blind and Shade Manufacturing,
,,,,,,,,423,423130,Tire and Tube Merchant Wholesalers,423130,Tire and Tube Merchant Wholesalers,,,,,,,,,,,,,339,339944,Carbon Paper and Inked Ribbon Manufacturing,339944,Carbon Paper and Inked Ribbon Manufacturing,,,,,339,339111,Laboratory Apparatus and Furniture Manufacturing,339111,Laboratory Apparatus and Furniture Manufacturing,
,,,,,,,,423,423140,Motor Vehicle Parts (Used) Merchant Wholesalers,423140,Motor Vehicle Parts (Used) Merchant Wholesalers,,,,,,,,,,,,,339,339950,Sign Manufacturing,339950,Sign Manufacturing,,,,,339,339112,Surgical and Medical Instrument Manufacturing,339112,Surgical and Medical Instrument Manufacturing,
,,,,,,,,423,423210,Furniture Merchant Wholesalers,423210,Furniture Merchant Wholesalers,,,,,,,,,,,,,339,339991,"Gasket, Packing, and Sealing Device Manufacturing",339991,"Gasket, Packing, and Sealing Device Manufacturing",,,,,339,339113,Surgical Appliance and Supplies Manufacturing,339113,Surgical Appliance and Supplies Manufacturing,
,,,,,,,,423,423220,Home Furnishing Merchant Wholesalers,423220,Home Furnishing Merchant Wholesalers,,,,,,,,,,,,,339,339992,Musical Instrument Manufacturing,339992,Musical Instrument Manufacturing,,,,,339,339114,Dental Equipment and Supplies Manufacturing,339114,Dental Equipment and Supplies Manufacturing,
,,,,,,,,423,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",,,,,,,,,,,,,339,339993,"Fastener, Button, Needle, and Pin Manufacturing",339993,"Fastener, Button, Needle, and Pin Manufacturing",,,,,339,339115,Ophthalmic Goods Manufacturing,339115,Ophthalmic Goods Manufacturing,
,,,,,,,,423,423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",,,,,,,,,,,,,339,339994,"Broom, Brush, and Mop Manufacturing",339994,"Broom, Brush, and Mop Manufacturing",,,,,339,339116,Dental Laboratories,339116,Dental Laboratories,
,,,,,,,,423,423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",,,,,,,,,,,,,339,339995,Burial Casket Manufacturing,339995,Burial Casket Manufacturing,,,,,339,339911,Jewelry (except Costume) Manufacturing,339911,Jewelry (except Costume) Manufacturing,
,,,,,,,,423,423390,Other Construction Material Merchant Wholesalers,423390,Other Construction Material Merchant Wholesalers,,,,,,,,,,,,,339,339999,All Other Miscellaneous Manufacturing,339999,All Other Miscellaneous Manufacturing,,,,,339,339912,Silverware and Hollowware Manufacturing,339912,Silverware and Hollowware Manufacturing,
,,,,,,,,423,423410,Photographic Equipment and Supplies Merchant Wholesalers,423410,Photographic Equipment and Supplies Merchant Wholesalers,,,,,,,,,,,,,423,423110,Automobile and Other Motor Vehicle Merchant Wholesalers,423110,Automobile and Other Motor Vehicle Merchant Wholesalers,,,,,339,339913,Jewelers' Material and Lapidary Work Manufacturing,339913,Jewelers' Material and Lapidary Work Manufacturing,
,,,,,,,,423,423420,Office Equipment Merchant Wholesalers,423420,Office Equipment Merchant Wholesalers,,,,,,,,,,,,,423,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,,,,,339,339914,Costume Jewelry and Novelty Manufacturing,339914,Costume Jewelry and Novelty Manufacturing,
,,,,,,,,423,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,,,,,,,,,,,,,423,423130,Tire and Tube Merchant Wholesalers,423130,Tire and Tube Merchant Wholesalers,,,,,339,339920,Sporting and Athletic Goods Manufacturing,339920,Sporting and Athletic Goods Manufacturing,
,,,,,,,,423,423440,Other Commercial Equipment Merchant Wholesalers,423440,Other Commercial Equipment Merchant Wholesalers,,,,,,,,,,,,,423,423140,Motor Vehicle Parts (Used) Merchant Wholesalers,423140,Motor Vehicle Parts (Used) Merchant Wholesalers,,,,,339,339931,Doll and Stuffed Toy Manufacturing,339931,Doll and Stuffed Toy Manufacturing,
,,,,,,,,423,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",,,,,,,,,,,,,423,423210,Furniture Merchant Wholesalers,423210,Furniture Merchant Wholesalers,,,,,339,339932,"Game, Toy, and Children's Vehicle Manufacturing",339932,"Game, Toy, and Children's Vehicle Manufacturing",
,,,,,,,,423,423460,Ophthalmic Goods Merchant Wholesalers,423460,Ophthalmic Goods Merchant Wholesalers,,,,,,,,,,,,,423,423220,Home Furnishing Merchant Wholesalers,423220,Home Furnishing Merchant Wholesalers,,,,,339,339941,Pen and Mechanical Pencil Manufacturing,339941,Pen and Mechanical Pencil Manufacturing,
,,,,,,,,423,423490,Other Professional Equipment and Supplies Merchant Wholesalers,423490,Other Professional Equipment and Supplies Merchant Wholesalers,,,,,,,,,,,,,423,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",,,,,339,339942,Lead Pencil and Art Good Manufacturing,339942,Lead Pencil and Art Good Manufacturing,
,,,,,,,,423,423510,Metal Service Centers and Other Metal Merchant Wholesalers,423510,Metal Service Centers and Other Metal Merchant Wholesalers,,,,,,,,,,,,,423,423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",,,,,339,339943,Marking Device Manufacturing,339943,Marking Device Manufacturing,
,,,,,,,,423,423520,Coal and Other Mineral and Ore Merchant Wholesalers,423520,Coal and Other Mineral and Ore Merchant Wholesalers,,,,,,,,,,,,,423,423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",,,,,339,339944,Carbon Paper and Inked Ribbon Manufacturing,339944,Carbon Paper and Inked Ribbon Manufacturing,
,,,,,,,,423,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,,,,,,,,,,,,423,423390,Other Construction Material Merchant Wholesalers,423390,Other Construction Material Merchant Wholesalers,,,,,339,339950,Sign Manufacturing,339950,Sign Manufacturing,
,,,,,,,,423,423620,"Electrical and Electronic Appliance, Television, and Radio Set Merchant Wholesalers - except electric water heaters",423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",,,,,,,,,,,,,423,423410,Photographic Equipment and Supplies Merchant Wholesalers,423410,Photographic Equipment and Supplies Merchant Wholesalers,,,,,339,339991,"Gasket, Packing, and Sealing Device Manufacturing",339991,"Gasket, Packing, and Sealing Device Manufacturing",
,,,,,,,,423,423620,"Electrical and Electronic Appliance, Television, and Radio Set Merchant Wholesalers - electric water heaters",423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,,,,,,,,,,,,,423,423420,Office Equipment Merchant Wholesalers,423420,Office Equipment Merchant Wholesalers,,,,,339,339992,Musical Instrument Manufacturing,339992,Musical Instrument Manufacturing,
,,,,,,,,423,423690,Other Electronic Parts and Equipment Merchant Wholesalers,423690,Other Electronic Parts and Equipment Merchant Wholesalers,,,,,,,,,,,,,423,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,,,,,339,339993,"Fastener, Button, Needle, and Pin Manufacturing",339993,"Fastener, Button, Needle, and Pin Manufacturing",
,,,,,,,,423,423710,Hardware Merchant Wholesalers,423710,Hardware Merchant Wholesalers,,,,,,,,,,,,,423,423440,Other Commercial Equipment Merchant Wholesalers,423440,Other Commercial Equipment Merchant Wholesalers,,,,,339,339994,"Broom, Brush, and Mop Manufacturing",339994,"Broom, Brush, and Mop Manufacturing",
,,,,,,,,423,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers - gas household appliances,423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",,,,,,,,,,,,,423,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",,,,,339,339995,Burial Casket Manufacturing,339995,Burial Casket Manufacturing,
,,,,,,,,423,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers - except gas household appliances,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,,,,,,,,,,,,,423,423460,Ophthalmic Goods Merchant Wholesalers,423460,Ophthalmic Goods Merchant Wholesalers,,,,,339,339999,All Other Miscellaneous Manufacturing,339999,All Other Miscellaneous Manufacturing,
,,,,,,,,423,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,,,,,,,,,,,,,423,423490,Other Professional Equipment and Supplies Merchant Wholesalers,423490,Other Professional Equipment and Supplies Merchant Wholesalers,,,,,421,421110,Automobile and Other Motor Vehicle Wholesalers,423110,Automobile and Other Motor Vehicle Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,423,423740,Refrigeration Equipment and Supplies Merchant Wholesalers,423740,Refrigeration Equipment and Supplies Merchant Wholesalers,,,,,,,,,,,,,423,423510,Metal Service Centers and Other Metal Merchant Wholesalers,423510,Metal Service Centers and Other Metal Merchant Wholesalers,,,,,421,421110,Automobile and Other Motor Vehicle Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,423,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,,,,,,,,,,,,,423,423520,Coal and Other Mineral and Ore Merchant Wholesalers,423520,Coal and Other Mineral and Ore Merchant Wholesalers,,,,,421,421110,Automobile and Other Motor Vehicle Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,423,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,,,,,,,,,,,,,423,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant  Wholesalers",423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant  Wholesalers",,,,,421,421120,Motor Vehicle Supplies and New Parts Wholesalers,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,423,423830,Industrial Machinery and Equipment Merchant Wholesalers,423830,Industrial Machinery and Equipment Merchant Wholesalers,,,,,,,,,,,,,423,423620,"Electrical and Electronic Appliance, Television, and Radio Set Merchant Wholesalers",423620,"Electrical and Electronic Appliance, Television, and Radio Set Merchant Wholesalers",,,,,421,421120,Motor Vehicle Supplies and New Parts Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,423,423840,Industrial Supplies Merchant Wholesalers,423840,Industrial Supplies Merchant Wholesalers,,,,,,,,,,,,,423,423690,Other Electronic Parts and Equipment Merchant Wholesalers,423690,Other Electronic Parts and Equipment Merchant Wholesalers,,,,,421,421120,Motor Vehicle Supplies and New Parts Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,423,423850,Service Establishment Equipment and Supplies Merchant Wholesalers,423850,Service Establishment Equipment and Supplies Merchant Wholesalers,,,,,,,,,,,,,423,423710,Hardware Merchant Wholesalers,423710,Hardware Merchant Wholesalers,,,,,421,421130,Tire and Tube Wholesalers,423130,Tire and Tube Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,423,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,,,,,,,,,,,,,423,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,,,,,421,421130,Tire and Tube Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,423,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,,,,,,,,,,,,,423,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,,,,,421,421130,Tire and Tube Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,423,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,,,,,,,,,,,,,423,423740,Refrigeration Equipment and Supplies Merchant Wholesalers,423740,Refrigeration Equipment and Supplies Merchant Wholesalers,,,,,421,421140,Motor Vehicle Parts (Used) Wholesalers,423140,Motor Vehicle Parts (Used) Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,423,423930,Recyclable Material Merchant Wholesalers,423930,Recyclable Material Merchant Wholesalers,,,,,,,,,,,,,423,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,,,,,421,421140,Motor Vehicle Parts (Used) Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,423,423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",,,,,,,,,,,,,423,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,,,,,421,421140,Motor Vehicle Parts (Used) Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,423,423990,Other Miscellaneous Durable Goods Merchant Wholesalers,423990,Other Miscellaneous Durable Goods Merchant Wholesalers,,,,,,,,,,,,,423,423830,Industrial Machinery and Equipment Merchant Wholesalers,423830,Industrial Machinery and Equipment Merchant Wholesalers,,,,,421,421210,Furniture Wholesalers,423210,Furniture Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,424,424110,Printing and Writing Paper Merchant Wholesalers,424110,Printing and Writing Paper Merchant Wholesalers,,,,,,,,,,,,,423,423840,Industrial Supplies Merchant Wholesalers,423840,Industrial Supplies Merchant Wholesalers,,,,,421,421210,Furniture Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,424,424120,Stationery and Office Supplies Merchant Wholesalers,424120,Stationery and Office Supplies Merchant Wholesalers,,,,,,,,,,,,,423,423850,Service Establishment Equipment and Supplies Merchant Wholesalers,423850,Service Establishment Equipment and Supplies Merchant Wholesalers,,,,,421,421210,Furniture Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,424,424130,Industrial and Personal Service Paper Merchant Wholesalers,424130,Industrial and Personal Service Paper Merchant Wholesalers,,,,,,,,,,,,,423,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,,,,,421,421220,Home Furnishing Wholesalers,423220,Home Furnishing Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,424,424210,Drugs and Druggists' Sundries Merchant Wholesalers,424210,Drugs and Druggists' Sundries Merchant Wholesalers,,,,,,,,,,,,,423,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,,,,,421,421220,Home Furnishing Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,424,424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",,,,,,,,,,,,,423,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,,,,,421,421220,Home Furnishing Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,424,424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers,424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers,,,,,,,,,,,,,423,423930,Recyclable Material Merchant Wholesalers,423930,Recyclable Material Merchant Wholesalers,,,,,421,421310,"Lumber, Plywood, Millwork, and Wood Panel Wholesalers",423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",Merchant Wholesalers
,,,,,,,,424,424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",,,,,,,,,,,,,423,423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",,,,,421,421310,"Lumber, Plywood, Millwork, and Wood Panel Wholesalers",425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,424,424340,Footwear Merchant Wholesalers,424340,Footwear Merchant Wholesalers,,,,,,,,,,,,,423,423990,Other Miscellaneous Durable Goods Merchant Wholesalers,423990,Other Miscellaneous Durable Goods Merchant Wholesalers,,,,,421,421310,"Lumber, Plywood, Millwork, and Wood Panel Wholesalers",425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,424,424410,General Line Grocery Merchant Wholesalers,424410,General Line Grocery Merchant Wholesalers,,,,,,,,,,,,,424,424110,Printing and Writing Paper Merchant Wholesalers,424110,Printing and Writing Paper Merchant Wholesalers,,,,,421,421320,"Brick, Stone, and Related Construction Material Wholesalers",423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",Merchant Wholesalers
,,,,,,,,424,424420,Packaged Frozen Food Merchant Wholesalers,424420,Packaged Frozen Food Merchant Wholesalers,,,,,,,,,,,,,424,424120,Stationery and Office Supplies Merchant Wholesalers,424120,Stationery and Office Supplies Merchant Wholesalers,,,,,421,421320,"Brick, Stone, and Related Construction Material Wholesalers",425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,424,424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,,,,,,,,,,,,,424,424130,Industrial and Personal Service Paper Merchant Wholesalers,424130,Industrial and Personal Service Paper Merchant Wholesalers,,,,,421,421320,"Brick, Stone, and Related Construction Material Wholesalers",425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,424,424440,Poultry and Poultry Product Merchant Wholesalers,424440,Poultry and Poultry Product Merchant Wholesalers,,,,,,,,,,,,,424,424210,Drugs and Druggists' Sundries Merchant Wholesalers,424210,Drugs and Druggists' Sundries Merchant Wholesalers,,,,,421,421330,"Roofing, Siding, and Insulation Material Wholesalers",423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",Merchant Wholesalers
,,,,,,,,424,424450,Confectionery Merchant Wholesalers,424450,Confectionery Merchant Wholesalers,,,,,,,,,,,,,424,424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",,,,,421,421330,"Roofing, Siding, and Insulation Material Wholesalers",425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,424,424460,Fish and Seafood Merchant Wholesalers,424460,Fish and Seafood Merchant Wholesalers,,,,,,,,,,,,,424,424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers,424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers,,,,,421,421330,"Roofing, Siding, and Insulation Material Wholesalers",425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,424,424470,Meat and Meat Product Merchant Wholesalers,424470,Meat and Meat Product Merchant Wholesalers,,,,,,,,,,,,,424,424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",,,,,421,421390,Other Construction Material Wholesalers,423390,Other Construction Material Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,424,424480,Fresh Fruit and Vegetable Merchant Wholesalers,424480,Fresh Fruit and Vegetable Merchant Wholesalers,,,,,,,,,,,,,424,424340,Footwear Merchant Wholesalers,424340,Footwear Merchant Wholesalers,,,,,421,421390,Other Construction Material Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,424,424490,Other Grocery and Related Products Merchant Wholesalers,424490,Other Grocery and Related Products Merchant Wholesalers,,,,,,,,,,,,,424,424410,General Line Grocery Merchant Wholesalers,424410,General Line Grocery Merchant Wholesalers,,,,,421,421390,Other Construction Material Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,424,424510,Grain and Field Bean Merchant Wholesalers,424510,Grain and Field Bean Merchant Wholesalers,,,,,,,,,,,,,424,424420,Packaged Frozen Food Merchant Wholesalers,424420,Packaged Frozen Food Merchant Wholesalers,,,,,421,421410,Photographic Equipment and Supplies Wholesalers,423410,Photographic Equipment and Supplies Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,424,424520,Livestock Merchant Wholesalers,424520,Livestock Merchant Wholesalers,,,,,,,,,,,,,424,424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,,,,,421,421410,Photographic Equipment and Supplies Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,424,424590,Other Farm Product Raw Material Merchant Wholesalers,424590,Other Farm Product Raw Material Merchant Wholesalers,,,,,,,,,,,,,424,424440,Poultry and Poultry Product Merchant Wholesalers,424440,Poultry and Poultry Product Merchant Wholesalers,,,,,421,421410,Photographic Equipment and Supplies Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,424,424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,,,,,,,,,,,,,424,424450,Confectionery Merchant Wholesalers,424450,Confectionery Merchant Wholesalers,,,,,421,421420,Office Equipment Wholesalers,423420,Office Equipment Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,424,424690,Other Chemical and Allied Products Merchant Wholesalers,424690,Other Chemical and Allied Products Merchant Wholesalers,,,,,,,,,,,,,424,424460,Fish and Seafood Merchant Wholesalers,424460,Fish and Seafood Merchant Wholesalers,,,,,421,421420,Office Equipment Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,424,424710,Petroleum Bulk Stations and Terminals,424710,Petroleum Bulk Stations and Terminals,,,,,,,,,,,,,424,424470,Meat and Meat Product Merchant Wholesalers,424470,Meat and Meat Product Merchant Wholesalers,,,,,421,421420,Office Equipment Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,424,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),,,,,,,,,,,,,424,424480,Fresh Fruit and Vegetable Merchant Wholesalers,424480,Fresh Fruit and Vegetable Merchant Wholesalers,,,,,421,421430,Computer and Computer Peripheral Equipment and Software Wholesalers,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,424,424810,Beer and Ale Merchant Wholesalers,424810,Beer and Ale Merchant Wholesalers,,,,,,,,,,,,,424,424490,Other Grocery and Related Products Merchant Wholesalers,424490,Other Grocery and Related Products Merchant Wholesalers,,,,,421,421430,Computer and Computer Peripheral Equipment and Software Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,424,424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,,,,,,,,,,,,,424,424510,Grain and Field Bean Merchant Wholesalers,424510,Grain and Field Bean Merchant Wholesalers,,,,,421,421430,Computer and Computer Peripheral Equipment and Software Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,424,424910,Farm Supplies Merchant Wholesalers,424910,Farm Supplies Merchant Wholesalers,,,,,,,,,,,,,424,424520,Livestock Merchant Wholesalers,424520,Livestock Merchant Wholesalers,,,,,421,421440,Other Commercial Equipment Wholesalers,423440,Other Commercial Equipment Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,424,424920,"Book, Periodical, and Newspaper Merchant Wholesalers",424920,"Book, Periodical, and Newspaper Merchant Wholesalers",,,,,,,,,,,,,424,424590,Other Farm Product Raw Material Merchant Wholesalers,424590,Other Farm Product Raw Material Merchant Wholesalers,,,,,421,421440,Other Commercial Equipment Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,424,424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",,,,,,,,,,,,,424,424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,,,,,421,421440,Other Commercial Equipment Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,424,424940,Tobacco and Tobacco Product Merchant Wholesalers,424940,Tobacco and Tobacco Product Merchant Wholesalers,,,,,,,,,,,,,424,424690,Other Chemical and Allied Products Merchant Wholesalers,424690,Other Chemical and Allied Products Merchant Wholesalers,,,,,421,421450,"Medical, Dental, and Hospital Equipment and Supplies Wholesalers",423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",Merchant Wholesalers
