"ProjectAbbreviation","ProjectName","ProjectPlatform","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1CMD","MGM-29 SERGEANT","Ordnance and Missiles",-50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1CME","MGM-31 PERSHING","Ordnance and Missiles",7313000,5294000,-6130996,-6843569,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1CMF","1CMF","Space Systems",,,,17006024,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1CMH","MQM-40/42 REDHEAD/ROADRUN","Aircraft",98000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1CMJ","FIM-43 REDEYE (LONGBOW)","Ordnance and Missiles",,-87000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1CML","MGM-52 LANCE","Ordnance and Missiles",7867000,5474000,4803224,-5157981,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1CMN","MIM-72 CHAPARRAL","Ordnance and Missiles",45056000,15253000,12686918,7202708,8206980,10302832,10899985,16573943,137627,-1291492,66600,1093507,216587,,,,,,,,,,,,,,,,,,
"1CMS","MGM-71 TOW","Ordnance and Missiles",174940000,618151000,657343565,225868828,19760255,984830,2121894,1931356,1743750,-7480810,817860,642000,,35000,,,,,,,,,,,,,,,,,
"1CMU","M-77 DRAGON","Missile Defense",115000,-303000,115274,-161798,,7016086,4294821,10475373,6425220,,,364576,-160144,,,,,,,,,,,,,,,,,,
"1CMZ","FAADS C21 (SHORAD)","Missile Defense",30800000,28111000,17934769,22154282,11579391,25841025,25005171,37461217,26229362,16705637,3354594,7153838,5970948,22821245,,,,,,-86347.8281,-12790.3096,-159244.2031,,,,,,,,,0
"1CNA","STINGER (RMP)  MANPORTABL","Missile Defense",136142000,293357000,175065541,254133659,133051439,112237903,75428912,187696399,132498585,140013799,12959020,17856642,14122060,11544487,,,,,,,,,,,,,,,,,
"1CNB","ASSAULT BREAKER","Space Systems",,-284000,239349,590020,3426960,,,,,,,,,,,,,,,,,,,,,,,,,,
"1CNC","QM-107 GD MSL TGT SYS",,2790000,3583000,3805472,898720,3708467,3582247,7417103,5532349,13289657,7735904,6148919,8933898,-429352,100259,,,,,,,,,,,,,,,,,
"1CND","FOG-M MISSILE (FAADS NLOS","Ordnance and Missiles",,,10061569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1CNG","U S ROLAND","Missile Defense",,1307000,-365611,-1e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1CNL","ARMY TACTICAL MISSILE SYS","Ordnance and Missiles",,43000,94162,,461868,3401507,198910,401992,-218663,8466692,1981384,162232559,106388286,58305790,,,,,,,-1580597.625,,,,,,0,,,,
"1CNM","TOW-2 TB-LH,OP-TRK,WG ANT","Ordnance and Missiles",,3724000,3637774,1145929,73954385,72793101,30174679,7718249,64692591,35886614,2461739,3455647,11911063,-3794780,2900,,,,,,-711594.6875,,,,,,,,,,0
"1CNP","AVENGER - FADS, LOS, RPMS","Electronics, Comms, & Sensors",,,,,676167,3370412,3837035,6403323,13518126,13172685,305111,4221095,6592481,10700292,,,,,,,,,,,,,,,,,
"1CNQ","BRLNT ANTI-ARMOR SUBMUNIT","Ordnance and Missiles",,,,,,,,,466014,50622472,11614599,4386481,1434530,73886,,,,,,,,,,,,,,,,,
"1CNR","IMPROVED TARGET ACQ SYS","Missile Defense",,,,,33493765,27074714,40194171,2906213,50144739,56768284,5525695,9228229,41344610,8012769,-250,,,,,,,,,,,,,,,,
"1CNT","MLRS - MULTIPLE LNCH ROCK","Ordnance and Missiles",,,,,,139053,87470,78863982,20078078,29931997,6755986,2441010,19482280,18950253,,,,,,,-88479.2578,-11612,,,,,,,,,
"1CNU","CORPS SAM","Missile Defense",,,,,,,9534872,,,,,2293048,2418953,3578555,,,,,,,,,,,,,,,,,
"1CNV","GBI - GROUND BASED INTERC","Missile Defense",,,,,30637302,105750000,207574000,63366074,88766000,53220000,0,,55216,72140,,,,,,,,,,,,,,,,,
"1CNW","GBR -GROUND BASED RADAR","Missile Defense",,,,,,1294200,9280000,44631914,55584871,49272015,1735068,12474957,27467905,2645844,,,,,,,,,,,,,0,,,,
"1CPA","HELLFIRE MODULAR MSL SYS","Ordnance and Missiles",42496000,259903000,159769992,245871114,254353648,161929808,297134679,344311966,124031831,333758198,1749114,2578594,13575267,43870200,,,,,,,,,,,,,,,,,
"1CRC","XMQR-13","Missile Defense",,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1CRG","2.75"" ROCKET ALL TYPES","Ordnance and Missiles",,43134000,5437653,8439080,21742808,12038667,2695057,,,3925723,,1117224,3795252,4432347,,,,,,,,,,,,,,,,,
"1CRM","LAUNCHER, ROCKET 2.75","Ordnance and Missiles",,,,,,,,,,,,,4333976,2495054,,,,,,,,,,,,,,,,,
"1CRN","1CRN",,,,,,,,,198856,,,,105600,,,,,,,,,,,,,,,,,,,
"1CRO","1CRO","Ordnance and Missiles",,,,,,,,,4631118,,,,,,,,,,,,,,,,,,,,,,
"1CRV","MULT LNCH ROCKET SYS","Ordnance and Missiles",237801000,635583000,505787171,354868698,220790247,252366714,318178671,112393936,185378030,186358518,2584764,37660877,147079123,36760863,,,,,,-608802.875,-8388.2598,-495009.0625,,,,,,,,,
"1DAD","TRUCKS <1T","Land Vehicles",,,,,,,,,,96200,,,,,,,,,,,,,,,,,,,,,
"1DAE","TRUCKS 2 1/2T","Land Vehicles",,,,,,,,,,,,2838289,857030,-578,,,,,,,,,,,,,,,,,
"1DAF","TRUCKS 5T","Land Vehicles",,,,,,,,714800,1222375,,,,187756,7927221,,,,,,,,,,,,,,,,,
"1DAI","RECOVERY VEHICLE M88 IMPR","Land Vehicles",,,,,,,,54880,,,,,,1000,,,,,,,,,,,,,,,,,
"1DAM","H. MOB. MP WHEELED VEH (H","Land Vehicles",,,,,,,211000,,,,,,241499,1354833,,,,,,,,,,,,,,,,,
"1DBP","TNK & AUTO TECH","Land Vehicles",,2567000,,-77220,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1DBQ","CAVALRY FIGHTING VEHICLE","Ordnance and Missiles",,40999000,3844844,14602941,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1DBV","BRADLEY,INFANTRY FT VEH F","Land Vehicles",72000,5480000,8793388,2005498,18814211,18607055,10031479,17931864,1659142,10079623,1808161,2823609,5180958,2215648,,,,,,,,,,,,,,,,,
"1DBW","ASSAULT GEN SHERIDAN XM55","Land Vehicles",,-115000,362394,-37762,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1DCE","CARRIER VULCAN SP XM-741","Land Vehicles",,,41195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1DCG","PERSONNEL CARRIER M113","Land Vehicles",,82000,407160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
