fiscal_year	IsAbove2018constantCommercialItem7500k	IsAbove2018constantCostAccounting2000kThreshold	CostAccountingStandardsClause	costorpricingdata	IsSealedBid	IsCommercialitemacquisitionprocedures	isforeigngovernment	FixedPriceEffective	AlwaysCAUisCASexemptOrWaived	contractingofficerbusinesssizedetermination	n_cau	obligatedamount
2007	1	1	Y	Y	0	0	0	0	1	S	130	116977564.6641
2011	1	1	X	W	0	0	0	1	1	O	27	26651849.9493
2008	0	0	Y		0	1	0	0	1	S	14	1194202.4000
2015	0	0	N	N	1	1	0	1	1	S	1	0.0000
2015	0	1	N	N	1	1	0	0	1	S	1	0.0000
2021	0	0	Y	N	0	1	0	1	0	S	58	1956082.3974
2006	0	1	N	N	0	1	0	0	1	S	5	1023244.0000
2008	0	1	Y	N	1	0	0	1	1	S	8	4134894.0000
2012	0	0	N	N	1	0	0	0	1	O	3	82188.2426
2013	1	1		W	0	0	0	1	1	O	111	131795982.9800
2010	0	1		Y	0	1	0	0	1	S	3	9828874.7500
2017	1	1	Y	Y	0	0	0	0	0	O	14184	49268916090.7799
2017	1	1	Y	W	0	0	0	1	0	O	7	0.0000
2011	0	0	NULL	NULL	0	1	0	0	1	O	9	993669.3300
2021	1	1	X	N	1	1	0	0	1	O	18	14070700.0000
2001	0	0	X	N	0	1	NULL	0	1	O	1	1150295.0000
2019	0	1	Y	N	0	0	0	0	0	S	877	304549318.2304
2015	1	1		Y	0	0	0	0	0	O	2556	6775091005.4199
2017	0	0	N	N	0	0	0	0	1	S	945	24741292.9809
2005	1	1	Y	N	0	0	0	1	1	S	11	13635028.0000
2006	0	1	Y		0	1	0	0	0	O	6	1483543.0000
2003	0	0	N	N	0	0	0	1	1	S	4	80798.6016
2022	0	0	NULL	NULL	0	1	0	0	1	S	104	2354275.3400
2007	0	0	X		0	1	0	0	1	:	75	-114056.4800
2012	1	1		Y	0	1	0	0	1	S	53	192774149.8214
2013	0	0	Y	Y	0	0	0	0	0	S	718	76238847.0922
2012	1	1	N	NULL	0	0	0	0	1	O	9	0.0000
2011	1	1		N	0	0	0	0	1	S	2581	2106935171.2320
2016	0	0	NULL	N	0	0	0	0	1	O	119658	2524248935.3400
2013	0	0	Y	NULL	0	0	0	0	0	O	206	0.0000
2012	1	1	Y	Y	1	0	0	0	0	O	12	11747612.1992
2009	0	0	X	Y	0	1	0	0	1	S	410	16564135.9080
2006	0	1	X	N	1	1	0	0	1	O	26	2243172.0000
2002	0	0	X	N	0	1	1	1	1	O	2	185074.0000
2019	1	1	N	Y	0	1	0	0	1	S	16	0.0000
2017	0	0	X	N	1	1	0	1	1	S	160	3896641.3235
2016	0	1	N	N	0	0	1	1	1	O	1	1499585.5900
2015	0	0	X	N	1	1	0	0	1	O	13	-159000.5300
2007	1	1		N	0	0	0	0	1	S	8	0.0000
2017	0	0		W	0	0	0	0	1	S	157	12590088.8409
2010	0	0	Y		0	1	0	0	1	S	4	-29048.3086
2012	0	1	X	Y	0	0	0	0	1	S	2599	705671676.5589
2008	0	1	N	N	1	0	0	1	1	O	4	2524252.6250
2009	1	1	X	W	1	0	0	0	1	S	1	4461158.0000
2002	1	1	X	N	1	0	0	0	1	S	5	1309832.0000
2021	0	0	NULL	N	0	0	1	0	1	O	3	107170.0000
2003	0	1			0	1	0	0	1	S	1	163264.6406
2020	1	1	X	W	0	1	1	0	1	O	1	0.0000
2016	0	1	X	NULL	0	1	0	0	1	S	541	-2578643.5200
2022	0	0	X	W	0	1	0	1	1	S	24	3317451.3598
2020	0	0		W	1	0	0	0	1	O	10	6838917.2032
2024	1	1	Y	W	0	1	0	0	0	S	2	0.0000
2018	0	0	Y	Y	0	1	0	0	0	O	5	222251.0000
2013	0	1	X	Y	1	1	0	0	1	S	7	1561955.4000
2011	0	0	N	N	0	0	0	1	1	S	1247	109567634.4552
2011	1	1	N	N	0	0	0	1	1	S	197	115055059.6964
2007	1	1	X	W	0	0	0	0	1	S	162	207975639.3828
2004	0	0	X	N	1	0	0	0	1	O	787	87834694.5037
2004	0	1	X	N	0	0	0	1	1	O	1597	1646890999.4688
2021	0	1	X		0	0	0	0	1	O	80	-277873.7512
2016	0	1	N		0	0	0	0	1	O	5	50232.9297
2024	0	0	Y	N	1	0	0	0	0	S	4	413020.0000
2011	0	0		W	0	1	0	1	1	S	129	5517406.9582
2015	0	0	X	W	0	1	1	0	1	O	1	865800.0000
2006	0	0	X	NULL	0	0	0	0	1	O	4	8394.0000
2020	0	0	X	N	1	1	0	0	1	O	2	188596.4404
2020	0	0			0	1	0	0	1	S	74801	3505292708.3054
2002	1	1	X	N	0	0	0	1	1	S	651	658853536.4375
2010	0	0		N	0	1	0	0	1	O	8143	537588700.9947
2014	0	0	N	Y	1	1	0	0	1	S	1	-8863.9400
2018	0	1		N	1	1	0	0	1	O	7	9419708.0781
2008	1	1	N	Y	0	0	0	0	0	O	357	647336192.7234
2009	0	1		W	0	0	0	0	1	S	1	0.0000
2015	1	1		N	0	1	0	0	1	O	841	2233439652.2948
2013	1	1	X	Y	0	0	0	0	0	S	1	-859093.4100
2012	1	1	Y	N	0	0	1	1	0	O	13	0.0000
2012	0	0		N	1	0	0	0	1	S	213	19688732.1883
2010	0	0	X		1	1	0	0	1	S	8	365516.4839
2023	0	0	X	W	0	1	1	0	1	O	1	0.0000
2019	1	1		W	0	1	0	0	1	O	18	71060413.8750
2014	1	1	NULL	Y	0	0	0	0	0	O	15	6939345.1400
2004	1	1	X	W	0	1	0	0	1	O	2	-614000.0000
2003	0	0	Y	W	0	0	0	0	1	O	3	820986.0000
2015	0	1	X	NULL	0	1	0	0	1	S	541	-689784.0000
2012	0	1	N	N	0	0	0	0	0	O	28	2181838.5484
2005	0	1	X	N	0	1	0	1	1	O	504	222040293.8536
2021	0	0	Y	N	0	1	0	0	0	S	103	16044593.9886
2021	0	1		Y	1	0	0	0	1	O	2	5240840.0000
2014	0	1	X		0	0	0	0	1	O	383	4630103.8933
2007	1	1	X	N	0	1	0	0	1	O	6246	17458714540.0511
2002	1	1	X	Y	0	0	0	0	1	S	941	953003284.0000
2011	0	1		N	0	1	0	1	1	S	782	1146843093.0666
2007	0	0		Y	0	0	0	0	1	O	47	807068.8984
2022	0	1	N	N	0	0	0	1	1	S	60	-11790.2900
2006	0	1	Y	N	0	1	0	0	0	S	4	4900954.0000
2017	0	0	X	N	1	0	0	1	1	S	1062	188022619.3408
2009	0	1	X	N	0	1	0	0	1	S	4737	1700047023.6451
2016	0	0		N	0	0	0	1	1	S	78932	3156169731.1721
2024	0	0	X	W	0	0	1	0	1	O	13	1904587.3809
2018	0	0	Y	N	0	1	0	0	1	O	4	980.4799
2007	0	1			0	1	0	0	1	S	4	640582.5625
2013	0	0		N	0	1	0	1	1	O	204267	5959158487.4588
2023	1	1	X	N	0	1	0	0	1	O	5161	16378374400.8403
2005	0	1	Y	Y	0	0	0	0	0	O	1010	643756078.1719
2016	0	1	Y	N	0	0	0	0	1	S	24	-1040621.1119
2019	0	0		W	0	1	1	0	1	O	15	1444265.2372
2015	1	1			0	1	0	0	1	S	262	179022986.7875
2003	0	0	Y	N	1	0	0	1	1	S	1	249991.0000
2012	0	0	Y	Y	0	1	0	0	0	S	10	748559.9378
2017	0	1	N	NULL	0	1	0	0	1	S	16	0.0000
2004	0	0	Y	N	0	1	0	0	1	S	5	3244081.0000
2013	0	0	N		0	0	0	0	1	O	10	-137550.5700
2024	0	0	NULL	W	0	0	0	0	1	S	11	-11448.6064
2011	1	1	Y	N	0	1	0	0	0	O	157	141937957.1563
2006	1	1	X	N	0	0	0	0	0	S	48	41746657.0000
2018	0	0		W	0	1	1	0	1	O	23	1615717.2568
2024	1	1	Y	N	0	0	0	0	0	O	1981	11932052978.3435
2009	0	1	N	N	0	0	0	0	0	S	5	276130.0000
2020	1	1	NULL	N	0	1	0	1	1	S	3	5107175.4300
2013	0	1	N	N	0	0	0	1	1	O	96	37666048.3863
2023	0	0	NULL	N	0	0	1	1	1	O	2	-9406.7202
2020	1	1		N	0	0	1	1	1	O	2	31917642.0000
2003	1	1	X	Y	0	0	0	0	0	O	1752	12946941867.1900
2009	0	1	Y	N	0	0	1	1	0	O	1	2063570.0000
2018	0	1		N	1	0	0	1	1	O	4	2123601.0000
2008	1	1		N	0	0	0	1	1	O	14	25989338.5938
2024	1	1	NULL	N	0	1	0	1	1	O	141	222776892.1753
2013	0	0			0	0	0	0	1	S	161097	2606867679.5689
2012	0	1	N	W	0	1	0	1	1	S	2	0.0000
2009	0	0		N	0	1	0	1	1	S	51	2294215.8174
2004	1	1	X		0	0	0	0	1	S	347	411908786.0000
2020	0	1	N	N	0	1	1	1	1	O	2	0.0000
2021	0	0	N	W	0	1	0	0	1	S	1	0.0000
2018	0	0	NULL	NULL	0	0	0	0	1	S	35	-93161.6500
2015	1	1	Y	N	0	0	0	0	1	S	234	51624436.0862
2022	1	1	Y	Y	0	1	0	0	0	S	8	-211658.3900
2006	0	1	X		1	0	0	0	1	O	408	341545837.0000
2008	0	1	X	W	0	1	0	0	1	O	676	795205838.2319
2017	0	1	X	N	1	0	0	0	1	S	61	22532737.8988
2022	1	1	X	N	0	0	0	0	1		1	0.0000
2014	1	1	N	Y	0	0	0	0	1	O	92	38616515.0700
2009	0	0			0	0	0	0	1	S	3904	95052075.2658
