Data Download from NCSES Interactive Data Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filters,Selected values,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer of Research by Field,"Universities and colleges, excluding FFRDCs, Other than universities and colleges",,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Research and Applied Research,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,
Detailed Fields,"Agricultural sciences, Biological sciences (excluding environmental), Environmental biology, Medical sciences, Other life sciences, Biological aspects",,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Year,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deflator: Current Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measure: Thousands of Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<Fiscal Year>,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Science,Life sciences,Agricultural sciences,Department of Defense,Department of the Air Force,Basic research,Total for selected values,"3,661","8,403","6,231","9,216","4,083","1,427",-,-,-,359,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Agricultural sciences,Department of Defense,Department of the Air Force,Basic research,"Universities and colleges, excluding FFRDCs","2,629","8,401","5,777","9,216","4,083","1,203",-,-,-,359,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Agricultural sciences,Department of Defense,Department of the Air Force,Basic research,Other than universities and colleges,"1,032",2,455,-,0,224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Agricultural sciences,Department of Defense,Department of the Army,Total for selected values,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,"1,105","1,069","1,049","1,103","1,140",995,697,898,-,-
Science,Life sciences,Agricultural sciences,Department of Defense,Department of the Army,Basic research,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,504,447,469,531,460,330,252,375,-,-
Science,Life sciences,Agricultural sciences,Department of Defense,Department of the Army,Basic research,"Universities and colleges, excluding FFRDCs",-,-,-,-,-,-,-,-,-,-,-,41,25,23,92,30,-,9,12,-,-
Science,Life sciences,Agricultural sciences,Department of Defense,Department of the Army,Basic research,Other than universities and colleges,-,-,-,-,-,-,-,-,-,-,-,463,422,446,439,430,330,243,363,-,-
Science,Life sciences,Agricultural sciences,Department of Defense,Department of the Army,Applied research,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,601,622,580,572,680,665,445,523,-,-
Science,Life sciences,Agricultural sciences,Department of Defense,Department of the Army,Applied research,"Universities and colleges, excluding FFRDCs",-,-,-,-,-,-,-,-,-,-,-,60,60,52,32,59,-,16,11,-,-
Science,Life sciences,Agricultural sciences,Department of Defense,Department of the Army,Applied research,Other than universities and colleges,-,-,-,-,-,-,-,-,-,-,-,541,562,528,540,621,665,429,512,-,-
